objectid,fid_kau_ce,segmentid,st_fullnm,st_pre,st_name,st_type,st_suf,a1_fullnm,a1_st_pre,a1_st_name,a1_st_type,a1_st_suf,a2_fullnm,a2_st_pre,a2_st_name,a2_st_type,a2_st_suf,route_num,route_type,lf_addr,lt_addr,rf_addr,rt_addr,oneway,from_elev,to_elev,paved,private,geo_source,name,st_lengthshape
40,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,162.079319092661
41,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,26.3586745818039
42,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,83.9157847137814
43,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,70.9795437857625
44,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,114.344985790995
45,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,370.886267776681
46,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,340.021357036006
47,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,356.067003992498
48,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,114.166786102542
49,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,153.89205049753
50,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,12.613779681479
51,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,523.884367291953
52,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,93.847754234541
53,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,7.69009724128185
54,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,6.48051103600712
55,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,265.142606293146
56,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,120.677738976058
57,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,411.563563230142
58,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,266.324592236667
59,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,117.782862026277
60,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,1.91752420062237
61,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,182.88078030287
62,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,202.032585147926
63,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,42.0863781761669
64,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,1.64752076666908
65,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,43.0204039330128
66,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,9.00148228193926
67,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,3.41527485981918
68,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,5.31328582434686
69,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,13.0645506667092
70,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,147.884626211336
71,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,128.570134158783
72,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,506.79611276774
73,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,210.165174278909
74,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,18.8153905906559
75,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HANA HIGHWAY 36,13.4461967032347
76,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,157.973173852386
77,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,64.3747320475841
78,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,0.179382970514453
79,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,239.538481650305
80,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,8.96506631865406
81,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,47.4858461546803
82,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,163.288147506654
83,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,87.4996536862059
84,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,412.868400384841
85,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,58.1249398243867
86,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0, ,158.136257314568
87,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,95.9715638433206
88,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,1070.6972775619
89,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,258.312301804662
90,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,67.6173442602712
91,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,170.766070920785
92,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,1696.18767517367
93,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0, ,617.924590928738
94,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,36.9386253155743
95,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,382.718846769139
96,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,7.08214254058022
97,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,71.5485869726197
98,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,117.530676624045
99,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,31.2333743292925
100,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,51.2922693957378
101,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,91.2401293613387
102,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,149.059985326028
103,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,29.8304115702958
104,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,98.3270711943109
105,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,2.96684178287769
106,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,623.281994230098
107,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,13.9369231921147
108,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,31.8523326492023
109,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,72.7226808780567
110,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,69.851104907466
111,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,77.9079126718687
112,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,43.2239694027056
113,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,72.8041321013074
114,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,3.65001106824117
115,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KALANIANAOLE HWY,55.1913955404158
116,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KALANIANAOLE HWY,83.4658930863296
117,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,ALA MOANA,7.94449830947084
118,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,ALA MOANA,76.4998505139462
119,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAPIOLANI BLVD,4.37423806019179
120,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAPIOLANI BLVD,5.24253081642592
121,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,324.001308296605
122,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0, ,886.939000104289
