objectid,fid_kau_ce,segmentid,st_fullnm,st_pre,st_name,st_type,st_suf,a1_fullnm,a1_st_pre,a1_st_name,a1_st_type,a1_st_suf,a2_fullnm,a2_st_pre,a2_st_name,a2_st_type,a2_st_suf,route_num,route_type,lf_addr,lt_addr,rf_addr,rt_addr,oneway,from_elev,to_elev,paved,private,geo_source,name,st_lengthshape
1,667,1280,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18398,18358,18399,18359,0,0,0,Y,N,1,KAUMUALII HWY,176.605698042363
2,674,1307,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18098,18000,18099,18001,0,0,0,Y,N,1,KAUMUALII HWY,234.002314662347
3,678,1311,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,17998,17900,17999,17901,0,0,0,Y,N,1,KAUMUALII HWY,271.462677135973
4,786,281,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,10998,10952,10999,10953,0,0,0,Y,N,1,KAUMUALII HWY,5.64747201964241
5,1145,3502,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,0,57093,57149,57090,57148,0,0,0,Y,N,1,KUHIO HWY,1.29996013784182
6,1182,1238,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18701,18749,18700,18748,0,0,0,Y,N,1,KAUMUALII HWY,8.46248996956862
7,1190,1246,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18598,18550,18599,18551,0,0,0,Y,N,1,KAUMUALII HWY,253.518281665348
8,1202,1258,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18548,18500,18549,18501,0,0,0,Y,N,1,KAUMUALII HWY,135.162933842522
9,1211,1267,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18462,18400,18463,18401,0,0,0,Y,N,1,KAUMUALII HWY,129.30488409079
10,1281,514,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18498,18464,18499,18465,0,0,0,Y,N,1,KAUMUALII HWY,135.579231934052
11,1344,852,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,17898,17624,17899,17625,0,0,0,Y,N,1,KAUMUALII HWY,653.472470136826
12,1387,1297,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18298,18200,18299,18201,0,0,0,Y,N,1,KAUMUALII HWY,411.347285911162
13,1390,1300,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18198,18100,18199,18101,0,0,0,Y,N,1,KAUMUALII HWY,235.971895222011
14,1697,917,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18698,18600,18699,18601,0,0,0,Y,N,1,KAUMUALII HWY,373.927277879338
15,1699,919,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3, , , , ,0,0,0,Y,N,1,KAUMUALII HWY,4.9305415688088
16,1712,957,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3, , , , ,0,0,0,Y,N,1,KAUMUALII HWY,27.9953127101697
17,1724,969,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3, , , , ,0,0,0,Y,N,1,KAUMUALII HWY,7.24404052192126
18,2640,2313,KUHIO HWY, ,KUHIO,HWY, ,HI-56, ,HI-56, , , , , , , ,56,3,4771,4859,4772,4858,0,0,0,Y,N,1,KUHIO HWY,9.58821911332628
19,2671,2364,KUHIO HWY, ,KUHIO,HWY, ,HI-56, ,HI-56, , , , , , , ,56,3,41451,41579,41450,41584,0,0,0,Y,N,1,KUHIO HWY,47.202301751659
20,3165,3064,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,3,56698,56602,56699,56601,0,0,0,Y,N,1,KUHIO HWY,125.678154504923
21,3327,3305,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,3,57738,57642,57699,57653,0,0,0,Y,N,1,KUHIO HWY,3.2297636073681
22,3338,3316,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,3,58398,57740,58399,57701,0,0,0,Y,N,1,KUHIO HWY,453.892744155572
23,3561,3562,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,0,56801,56939,56800,56998,0,0,0,Y,N,1,KUHIO HWY,17.0285159238362
24,3563,3564,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,0,56957,57009,57000,56998,0,0,0,Y,N,1,KUHIO HWY,3.97079029473392
25,3564,3565,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,0,57011,57059,57000,57058,0,0,0,Y,N,1,KUHIO HWY,8.37053878001136
26,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,112.826051578928
27,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,NORTH KIHEI ROAD,517.946035633553
28,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,NORTH KIHEI ROAD,728.24522376759
29,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,308.155140605213
30,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,218.114283456128
31,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,10.9709093194114
32,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,1.64642046019634
33,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,3.32719948654708
34,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,33.6427893580605
35,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,9.49294983565872
36,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,112.393504149221
37,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,607.767105640532
38,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,214.803487576327
39,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,154.13443529343
