objectid,id,st_areashape,st_perimetershape
1,1,17425068.0438539,1420933.1655479
2,0,16135534.0177723,1082830.37642257
3,1,1337530.10762998,190473.689098196
4,0,9846577.662801,819543.882808833
5,1,6620965.13702171,648364.789711895
6,0,25895414.5004671,1645507.26096506
