"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Allocated","Estimate!!Total!!Not Allocated",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","618","22","596",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","412","3","409",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","420","7","413",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","434","34","400",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","153","29","124",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","442","31","411",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","392","0","392",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","538","0","538",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","798","74","724",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","424","22","402",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","204","67","137",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","607","83","524",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","287","79","208",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","469","48","421",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","200","48","152",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","339","72","267",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","725","10","715",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","624","131","493",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","273","8","265",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","589","79","510",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","426","61","365",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1263","104","1159",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","601","22","579",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","749","30","719",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","528","45","483",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","626","45","581",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","1203","48","1155",
