"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Imputed","Estimate!!Total!!Not Imputed",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","747","48","699",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","466","7","459",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","509","23","486",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","566","11","555",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","293","0","293",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","700","43","657",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","540","0","540",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","265","39","226",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","809","62","747",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","340","0","340",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","211","10","201",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","685","28","657",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","385","19","366",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","329","11","318",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","243","33","210",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","252","26","226",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","304","12","292",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","680","65","615",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","294","0","294",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","570","62","508",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","400","25","375",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1014","39","975",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","739","14","725",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","646","24","622",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","631","10","621",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","665","42","623",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","1119","47","1072",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","792","7","785",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","1281","70","1211",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","880","4","876",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","517","26","491",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","1072","112","960",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","191","25","166",
