"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Imputed","Estimate!!Total!!Not Imputed",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","639","21","618",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","395","5","390",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","446","0","446",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","604","25","579",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","110","16","94",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","592","76","516",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","474","0","474",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","449","34","415",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","736","92","644",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","388","12","376",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","125","30","95",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","604","16","588",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","273","44","229",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","519","0","519",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","214","14","200",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","161","74","87",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","157","10","147",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","577","117","460",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","205","8","197",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","538","76","462",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","400","35","365",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1175","81","1094",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","688","38","650",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","748","13","735",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","622","20","602",
