"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total:","Estimate!!Total:!!Allocated","Estimate!!Total:!!Not Allocated",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","657","17","640",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","350","13","337",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","546","57","489",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","369","78","291",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","329","36","293",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","459","61","398",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","471","193","278",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","619","30","589",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","599","79","520",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","685","133","552",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","350","39","311",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","556","12","544",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","272","6","266",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","629","80","549",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","615","205","410",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","492","18","474",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","395","37","358",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","405","33","372",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","787","158","629",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1322","206","1116",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","1044","128","916",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","594","100","494",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","647","43","604",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","676","97","579",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","960","77","883",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","656","19","637",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","756","50","706",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","1193","152","1041",
"1500000US150010208013","Block Group 3, Census Tract 208.01, Hawaii County, Hawaii","458","111","347",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","720","191","529",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","144","0","144",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","1302","333","969",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","324","25","299",
"1500000US150010208025","Block Group 5, Census Tract 208.02, Hawaii County, Hawaii","736","83","653",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","264","35","229",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","659","167","492",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","409","0","409",
"1500000US150010209004","Block Group 4, Census Tract 209, Hawaii County, Hawaii","330","104","226",
"1500000US150010209005","Block Group 5, Census Tract 209, Hawaii County, Hawaii","622","7","615",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","606","11","595",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","556","59","497",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","825","40","785",
"1500000US150010210034","Block Group 4, Census Tract 210.03, Hawaii County, Hawaii","63","0","63",
"1500000US150010210035","Block Group 5, Census Tract 210.03, Hawaii County, Hawaii","583","50","533",
"1500000US150010210111","Block Group 1, Census Tract 210.11, Hawaii County, Hawaii","344","0","344",
"1500000US150010210112","Block Group 2, Census Tract 210.11, Hawaii County, Hawaii","860","47","813",
"1500000US150010210113","Block Group 3, Census Tract 210.11, Hawaii County, Hawaii","634","30","604",
"1500000US150010210131","Block Group 1, Census Tract 210.13, Hawaii County, Hawaii","449","47","402",
"1500000US150010210132","Block Group 2, Census Tract 210.13, Hawaii County, Hawaii","774","43","731",
"1500000US150010210133","Block Group 3, Census Tract 210.13, Hawaii County, Hawaii","1046","61","985",
"1500000US150010210141","Block Group 1, Census Tract 210.14, Hawaii County, Hawaii","364","37","327",
"1500000US150010210142","Block Group 2, Census Tract 210.14, Hawaii County, Hawaii","2257","72","2185",
"1500000US150010210143","Block Group 3, Census Tract 210.14, Hawaii County, Hawaii","1260","214","1046",
"1500000US150010210151","Block Group 1, Census Tract 210.15, Hawaii County, Hawaii","745","191","554",
