"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Allocated","Estimate!!Total!!Not Allocated",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","741","25","716",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","378","0","378",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","266","7","259",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","356","36","320",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","210","42","168",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","519","36","483",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","417","0","417",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","619","2","617",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","693","64","629",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","542","22","520",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","230","40","190",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","560","35","525",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","264","59","205",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","435","51","384",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","244","21","223",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","285","32","253",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","780","20","760",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","689","151","538",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","219","16","203",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","660","54","606",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","419","56","363",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1074","105","969",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","659","18","641",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","744","101","643",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","549","42","507",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","762","90","672",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","1089","69","1020",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","645","84","561",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","1636","120","1516",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","761","114","647",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","519","46","473",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","1297","119","1178",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","128","0","128",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","1260","42","1218",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","363","41","322",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","381","71","310",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","1278","146","1132",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","721","28","693",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","615","70","545",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","1246","84","1162",
"1500000US150010210051","Block Group 1, Census Tract 210.05, Hawaii County, Hawaii","615","73","542",
"1500000US150010210052","Block Group 2, Census Tract 210.05, Hawaii County, Hawaii","1102","83","1019",
"1500000US150010210053","Block Group 3, Census Tract 210.05, Hawaii County, Hawaii","1768","213","1555",
"1500000US150010210054","Block Group 4, Census Tract 210.05, Hawaii County, Hawaii","821","98","723",
"1500000US150010210101","Block Group 1, Census Tract 210.10, Hawaii County, Hawaii","1274","5","1269",
"1500000US150010210102","Block Group 2, Census Tract 210.10, Hawaii County, Hawaii","744","68","676",
"1500000US150010210103","Block Group 3, Census Tract 210.10, Hawaii County, Hawaii","1136","178","958",
"1500000US150010210111","Block Group 1, Census Tract 210.11, Hawaii County, Hawaii","1034","14","1020",
"1500000US150010210112","Block Group 2, Census Tract 210.11, Hawaii County, Hawaii","532","100","432",
"1500000US150010210131","Block Group 1, Census Tract 210.13, Hawaii County, Hawaii","491","57","434",
"1500000US150010210132","Block Group 2, Census Tract 210.13, Hawaii County, Hawaii","756","40","716",
"1500000US150010210133","Block Group 3, Census Tract 210.13, Hawaii County, Hawaii","1005","78","927",
"1500000US150010211011","Block Group 1, Census Tract 211.01, Hawaii County, Hawaii","997","130","867",
"1500000US150010211012","Block Group 2, Census Tract 211.01, Hawaii County, Hawaii","147","55","92",
"1500000US150010211061","Block Group 1, Census Tract 211.06, Hawaii County, Hawaii","305","37","268",
"1500000US150010211062","Block Group 2, Census Tract 211.06, Hawaii County, Hawaii","643","150","493",
"1500000US150010211063","Block Group 3, Census Tract 211.06, Hawaii County, Hawaii","969","46","923",
"1500000US150010211064","Block Group 4, Census Tract 211.06, Hawaii County, Hawaii","910","79","831",
"1500000US150010212021","Block Group 1, Census Tract 212.02, Hawaii County, Hawaii","774","24","750",
"1500000US150010212022","Block Group 2, Census Tract 212.02, Hawaii County, Hawaii","1036","221","815",
"1500000US150010212023","Block Group 3, Census Tract 212.02, Hawaii County, Hawaii","526","6","520",
"1500000US150010212024","Block Group 4, Census Tract 212.02, Hawaii County, Hawaii","470","20","450",
"1500000US150010213001","Block Group 1, Census Tract 213, Hawaii County, Hawaii","1252","117","1135",
"1500000US150010213002","Block Group 2, Census Tract 213, Hawaii County, Hawaii","1121","78","1043",
"1500000US150010213003","Block Group 3, Census Tract 213, Hawaii County, Hawaii","507","59","448",
"1500000US150010214021","Block Group 1, Census Tract 214.02, Hawaii County, Hawaii","608","52","556",
"1500000US150010214022","Block Group 2, Census Tract 214.02, Hawaii County, Hawaii","271","48","223",
"1500000US150010214023","Block Group 3, Census Tract 214.02, Hawaii County, Hawaii","885","189","696",
"1500000US150010215021","Block Group 1, Census Tract 215.02, Hawaii County, Hawaii","1535","213","1322",
"1500000US150010215022","Block Group 2, Census Tract 215.02, Hawaii County, Hawaii","610","133","477",
"1500000US150010215041","Block Group 1, Census Tract 215.04, Hawaii County, Hawaii","1604","132","1472",
"1500000US150010215042","Block Group 2, Census Tract 215.04, Hawaii County, Hawaii","775","57","718",
