"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Allocated","Estimate!!Total!!Not Allocated",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","653","20","633",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","417","6","411",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","450","6","444",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","490","24","466",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","125","31","94",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","443","33","410",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","363","0","363",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","523","19","504",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","710","83","627",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","468","23","445",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","151","72","79",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","548","18","530",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","324","53","271",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","503","73","430",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","196","18","178",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","178","86","92",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","238","16","222",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","644","112","532",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","249","7","242",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","644","91","553",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","408","34","374",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1269","88","1181",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","674","57","617",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","710","35","675",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","524","56","468",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","637","31","606",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","1226","59","1167",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","966","58","908",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","1569","82","1487",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","711","63","648",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","614","0","614",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","1404","118","1286",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","158","20","138",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","1100","61","1039",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","350","38","312",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","314","37","277",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","1356","136","1220",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","1027","51","976",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","412","68","344",
