"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total:","Estimate!!Total:!!Allocated","Estimate!!Total:!!Not Allocated",
"1500000US150010211082","Block Group 2, Census Tract 211.08, Hawaii County, Hawaii","894","14","880",
"1500000US150010211083","Block Group 3, Census Tract 211.08, Hawaii County, Hawaii","593","59","534",
"1500000US150010212031","Block Group 1, Census Tract 212.03, Hawaii County, Hawaii","722","27","695",
"1500000US150010212032","Block Group 2, Census Tract 212.03, Hawaii County, Hawaii","542","0","542",
"1500000US150010212033","Block Group 3, Census Tract 212.03, Hawaii County, Hawaii","788","52","736",
"1500000US150010212034","Block Group 4, Census Tract 212.03, Hawaii County, Hawaii","44","3","41",
"1500000US150010212041","Block Group 1, Census Tract 212.04, Hawaii County, Hawaii","362","9","353",
"1500000US150010212042","Block Group 2, Census Tract 212.04, Hawaii County, Hawaii","27","0","27",
"1500000US150010212043","Block Group 3, Census Tract 212.04, Hawaii County, Hawaii","546","9","537",
"1500000US150010213001","Block Group 1, Census Tract 213, Hawaii County, Hawaii","1643","392","1251",
"1500000US150010213002","Block Group 2, Census Tract 213, Hawaii County, Hawaii","658","42","616",
"1500000US150010213003","Block Group 3, Census Tract 213, Hawaii County, Hawaii","930","123","807",
"1500000US150010213004","Block Group 4, Census Tract 213, Hawaii County, Hawaii","518","90","428",
"1500000US150010214021","Block Group 1, Census Tract 214.02, Hawaii County, Hawaii","701","222","479",
"1500000US150010214022","Block Group 2, Census Tract 214.02, Hawaii County, Hawaii","964","171","793",
"1500000US150010215021","Block Group 1, Census Tract 215.02, Hawaii County, Hawaii","580","164","416",
"1500000US150010215022","Block Group 2, Census Tract 215.02, Hawaii County, Hawaii","1335","191","1144",
"1500000US150010215023","Block Group 3, Census Tract 215.02, Hawaii County, Hawaii","475","70","405",
"1500000US150010215041","Block Group 1, Census Tract 215.04, Hawaii County, Hawaii","1340","191","1149",
