"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Imputed","Estimate!!Total!!Not Imputed",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","620","27","593",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","372","7","365",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","488","11","477",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","549","17","532",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","135","10","125",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","650","70","580",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","472","0","472",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","377","36","341",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","703","51","652",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","378","13","365",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","131","13","118",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","648","27","621",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","392","41","351",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","337","0","337",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","210","36","174",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","179","68","111",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","187","16","171",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","567","46","521",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","227","7","220",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","511","67","444",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","363","29","334",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1109","38","1071",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","700","18","682",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","746","0","746",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","603","0","603",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","669","38","631",
