"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total:","Estimate!!Total:!!Allocated","Estimate!!Total:!!Not Allocated",
"1500000US150010210171","Block Group 1; Census Tract 210.17; Hawaii County; Hawaii","258","37","221",
"1500000US150010210172","Block Group 2; Census Tract 210.17; Hawaii County; Hawaii","280","28","252",
"1500000US150010210173","Block Group 3; Census Tract 210.17; Hawaii County; Hawaii","941","10","931",
"1500000US150010211011","Block Group 1; Census Tract 211.01; Hawaii County; Hawaii","81","27","54",
"1500000US150010211012","Block Group 2; Census Tract 211.01; Hawaii County; Hawaii","658","140","518",
"1500000US150010211013","Block Group 3; Census Tract 211.01; Hawaii County; Hawaii","264","28","236",
"1500000US150010211071","Block Group 1; Census Tract 211.07; Hawaii County; Hawaii","447","13","434",
"1500000US150010211081","Block Group 1; Census Tract 211.08; Hawaii County; Hawaii","570","0","570",
"1500000US150010211082","Block Group 2; Census Tract 211.08; Hawaii County; Hawaii","631","1","630",
"1500000US150010211083","Block Group 3; Census Tract 211.08; Hawaii County; Hawaii","678","217","461",
"1500000US150010212031","Block Group 1; Census Tract 212.03; Hawaii County; Hawaii","610","66","544",
"1500000US150010212032","Block Group 2; Census Tract 212.03; Hawaii County; Hawaii","647","0","647",
"1500000US150010212033","Block Group 3; Census Tract 212.03; Hawaii County; Hawaii","556","0","556",
"1500000US150010212034","Block Group 4; Census Tract 212.03; Hawaii County; Hawaii","132","5","127",
"1500000US150010212041","Block Group 1; Census Tract 212.04; Hawaii County; Hawaii","264","14","250",
"1500000US150010212042","Block Group 2; Census Tract 212.04; Hawaii County; Hawaii","23","0","23",
"1500000US150010212043","Block Group 3; Census Tract 212.04; Hawaii County; Hawaii","537","21","516",
"1500000US150010213001","Block Group 1; Census Tract 213; Hawaii County; Hawaii","1281","260","1021",
"1500000US150010213002","Block Group 2; Census Tract 213; Hawaii County; Hawaii","790","120","670",
"1500000US150010213003","Block Group 3; Census Tract 213; Hawaii County; Hawaii","1156","254","902",
"1500000US150010213004","Block Group 4; Census Tract 213; Hawaii County; Hawaii","455","19","436",
"1500000US150010214021","Block Group 1; Census Tract 214.02; Hawaii County; Hawaii","592","203","389",
"1500000US150010214022","Block Group 2; Census Tract 214.02; Hawaii County; Hawaii","1037","151","886",
"1500000US150010215021","Block Group 1; Census Tract 215.02; Hawaii County; Hawaii","804","160","644",
"1500000US150010215022","Block Group 2; Census Tract 215.02; Hawaii County; Hawaii","1114","246","868",
"1500000US150010215023","Block Group 3; Census Tract 215.02; Hawaii County; Hawaii","582","121","461",
"1500000US150010215041","Block Group 1; Census Tract 215.04; Hawaii County; Hawaii","1370","276","1094",
"1500000US150010215042","Block Group 2; Census Tract 215.04; Hawaii County; Hawaii","1244","185","1059",
"1500000US150010215101","Block Group 1; Census Tract 215.10; Hawaii County; Hawaii","1247","245","1002",
"1500000US150010215102","Block Group 2; Census Tract 215.10; Hawaii County; Hawaii","391","115","276",
"1500000US150010215103","Block Group 3; Census Tract 215.10; Hawaii County; Hawaii","252","0","252",
"1500000US150010215104","Block Group 4; Census Tract 215.10; Hawaii County; Hawaii","182","18","164",
"1500000US150010215111","Block Group 1; Census Tract 215.11; Hawaii County; Hawaii","1078","270","808",
"1500000US150010215121","Block Group 1; Census Tract 215.12; Hawaii County; Hawaii","930","128","802",
"1500000US150010215122","Block Group 2; Census Tract 215.12; Hawaii County; Hawaii","1396","205","1191",
"1500000US150010215131","Block Group 1; Census Tract 215.13; Hawaii County; Hawaii","988","88","900",
"1500000US150010215132","Block Group 2; Census Tract 215.13; Hawaii County; Hawaii","1211","148","1063",
"1500000US150010215133","Block Group 3; Census Tract 215.13; Hawaii County; Hawaii","931","93","838",
"1500000US150010216051","Block Group 1; Census Tract 216.05; Hawaii County; Hawaii","751","353","398",
"1500000US150010216052","Block Group 2; Census Tract 216.05; Hawaii County; Hawaii","426","0","426",
"1500000US150010216053","Block Group 3; Census Tract 216.05; Hawaii County; Hawaii","1033","59","974",
"1500000US150010216061","Block Group 1; Census Tract 216.06; Hawaii County; Hawaii","915","242","673",
"1500000US150010216062","Block Group 2; Census Tract 216.06; Hawaii County; Hawaii","1187","261","926",
"1500000US150010216071","Block Group 1; Census Tract 216.07; Hawaii County; Hawaii","620","80","540",
"1500000US150010216072","Block Group 2; Census Tract 216.07; Hawaii County; Hawaii","909","192","717",
"1500000US150010216073","Block Group 3; Census Tract 216.07; Hawaii County; Hawaii","906","180","726",
"1500000US150010216081","Block Group 1; Census Tract 216.08; Hawaii County; Hawaii","193","0","193",
"1500000US150010216082","Block Group 2; Census Tract 216.08; Hawaii County; Hawaii","749","259","490",
"1500000US150010216083","Block Group 3; Census Tract 216.08; Hawaii County; Hawaii","1046","107","939",
"1500000US150010216084","Block Group 4; Census Tract 216.08; Hawaii County; Hawaii","503","45","458",
"1500000US150010217051","Block Group 1; Census Tract 217.05; Hawaii County; Hawaii","1833","52","1781",
"1500000US150010217052","Block Group 2; Census Tract 217.05; Hawaii County; Hawaii","722","61","661",
"1500000US150010217053","Block Group 3; Census Tract 217.05; Hawaii County; Hawaii","729","157","572",
"1500000US150010217061","Block Group 1; Census Tract 217.06; Hawaii County; Hawaii","1159","33","1126",
"1500000US150010217062","Block Group 2; Census Tract 217.06; Hawaii County; Hawaii","731","173","558",
"1500000US150010217071","Block Group 1; Census Tract 217.07; Hawaii County; Hawaii","1136","224","912",
"1500000US150010217072","Block Group 2; Census Tract 217.07; Hawaii County; Hawaii","646","41","605",
"1500000US150010217073","Block Group 3; Census Tract 217.07; Hawaii County; Hawaii","109","57","52",
"1500000US150010217081","Block Group 1; Census Tract 217.08; Hawaii County; Hawaii","344","76","268",
"1500000US150010217082","Block Group 2; Census Tract 217.08; Hawaii County; Hawaii","700","115","585",
"1500000US150010217083","Block Group 3; Census Tract 217.08; Hawaii County; Hawaii","936","245","691",
"1500000US150010218001","Block Group 1; Census Tract 218; Hawaii County; Hawaii","612","42","570",
"1500000US150010218002","Block Group 2; Census Tract 218; Hawaii County; Hawaii","1136","90","1046",
"1500000US150010218003","Block Group 3; Census Tract 218; Hawaii County; Hawaii","923","70","853",
"1500000US150010218004","Block Group 4; Census Tract 218; Hawaii County; Hawaii","399","7","392",
"1500000US150010219021","Block Group 1; Census Tract 219.02; Hawaii County; Hawaii","699","71","628",
"1500000US150010219022","Block Group 2; Census Tract 219.02; Hawaii County; Hawaii","334","22","312",
"1500000US150010219023","Block Group 3; Census Tract 219.02; Hawaii County; Hawaii","665","0","665",
"1500000US150010220001","Block Group 1; Census Tract 220; Hawaii County; Hawaii","548","54","494",
"1500000US150010220002","Block Group 2; Census Tract 220; Hawaii County; Hawaii","619","24","595",
"1500000US150010221021","Block Group 1; Census Tract 221.02; Hawaii County; Hawaii","173","0","173",
"1500000US150010221022","Block Group 2; Census Tract 221.02; Hawaii County; Hawaii","316","63","253",
"1500000US150019900000","Block Group 0; Census Tract 9900; Hawaii County; Hawaii","0","0","0",
"1500000US150019901000","Block Group 0; Census Tract 9901; Hawaii County; Hawaii","0","0","0",
"1500000US150019903000","Block Group 0; Census Tract 9903; Hawaii County; Hawaii","0","0","0",
"1500000US150019904000","Block Group 0; Census Tract 9904; Hawaii County; Hawaii","0","0","0",
"1500000US150019905000","Block Group 0; Census Tract 9905; Hawaii County; Hawaii","0","0","0",
"1500000US150019906000","Block Group 0; Census Tract 9906; Hawaii County; Hawaii","0","0","0",
"1500000US150019907000","Block Group 0; Census Tract 9907; Hawaii County; Hawaii","0","0","0",
"1500000US150019908000","Block Group 0; Census Tract 9908; Hawaii County; Hawaii","0","0","0",
"1500000US150019909000","Block Group 0; Census Tract 9909; Hawaii County; Hawaii","0","0","0",
"1500000US150019910000","Block Group 0; Census Tract 9910; Hawaii County; Hawaii","0","0","0",
