"GEO_ID","NAME","B99241_001E","B99241_002E","B99241_003E",
"Geography","Geographic Area Name","Estimate!!Total:","Estimate!!Total:!!Allocated","Estimate!!Total:!!Not Allocated",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","802","62","740",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","416","0","416",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","368","7","361",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","372","29","343",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","289","35","254",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","542","31","511",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","325","57","268",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","495","24","471",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","681","65","616",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","450","0","450",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","259","40","219",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","603","39","564",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","223","59","164",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","322","53","269",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","194","21","173",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","271","0","271",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","811","28","783",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","601","134","467",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","270","19","251",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","714","56","658",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","438","79","359",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1002","119","883",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","946","46","900",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","551","106","445",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","494","54","440",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","778","113","665",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","1202","75","1127",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","609","73","536",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","1615","128","1487",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","817","102","715",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","656","63","593",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","1133","88","1045",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","114","0","114",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","1242","46","1196",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","334","59","275",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","455","81","374",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","1229","64","1165",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","594","21","573",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","682","68","614",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","1258","99","1159",
