objectid,id,st_areashape,st_perimetershape
1,1,19213135.8786347,1508260.31118987
2,0,23309519.9971867,1233408.31919922
3,1,1537672.02087448,205080.461886285
4,0,12685490.44467,913995.59275442
5,1,10482987.9760154,731868.677152764
6,0,38084063.9952651,2361973.22010013
