objectid,totloss,st_areashape,st_perimetershape
1,0.47437753,9793.52612235467,395.848983777558
2,135.16964081,9793.48656091188,395.848184250883
3,10.1775402,9793.4517747465,395.84748122996
4,8.01676809,9793.42210358451,395.846881580987
5,17.27576339,9793.40232305656,395.846481819587
6,14.01326674,9793.36787683163,395.845785665879
7,11.0927962,9793.51725141632,395.848804498374
8,0.00237809,9793.45824917655,395.847612076761
9,3.91957532,9793.42823814015,395.847005559435
10,19.55028241,9793.36889630595,395.84580626924
11,3.87185441,9793.33411039004,395.845103249138
12,6.40969117,9793.29966430145,395.844407095609
13,2.00847721,9793.2747687519,395.843903957242
14,4.25162972,9793.54794232525,395.849424753068
15,59.62268941,9793.52304640806,395.848921613498
16,2.63506154,9793.36991591422,395.845826875411
17,32.26244748,9793.33546986773,395.84513072408
18,7.40111871,9793.30068386841,395.844427701015
19,11.84546173,9793.27612818512,395.843931431368
20,11.91081345,9793.24611754713,395.843324916303
21,19.57891362,9793.21167172198,395.842628765122
22,31.00397874,9793.54418673979,395.849348853673
23,17.37834407,9793.20791622152,395.842552866142
24,29.36751159,9793.55509682626,395.84956934333
25,3.83715825,9793.21371107668,395.842669980584
26,9.14525526,9793.18404037497,395.842070333673
27,1.47547701,9793.15948476774,395.841574062609
28,24.1343204,9793.54622610738,395.849390068695
29,0.55288303,9793.17994487771,395.841987563375
30,8.64921919,9793.1553894647,395.841491296055
31,0.79225143,9793.12060389746,395.840788275336
32,0.27835255,9793.58714749631,395.850217077092
33,62.00800809,9793.5472460404,395.849410681343
34,9.207e-05,9793.16152440639,395.841615283919
35,10.79885524,9793.12673873654,395.840912261269
36,6.21760586,9793.09706811902,395.840312613603
37,13.95071169,9793.06228265312,395.839609592837
38,79.62609703,9793.57793699379,395.850030936036
39,0.38353331,9793.54826569944,395.84943128825
40,14.84727285,9793.09331295068,395.840236720891
41,13.76079503,9793.06875747712,395.839740450202
42,6.55870059,9793.03874709679,395.839133934074
43,5.46752583,9793.00396172455,395.838430913009
44,3.14138313,9792.96951623465,395.837734759845
45,3.70518783,9792.94462092219,395.837231617789
46,147.79004956,9793.61374336508,395.850754570419
47,208.79213624,9793.58918739576,395.850258302773
48,11.13538887,9792.94086592279,395.837155727978
49,78.86567444,9793.60964806573,395.850671805785
50,8.71940656,9792.946660804,395.837272844466
51,0,9793.61578334058,395.850795797582
52,16.28765345,9792.94290572855,395.837196953125
53,0,9793.60691273195,395.85061652568
54,7.22211688,9793.58713202267,395.850216764488
55,6.49623701,9792.94870081818,395.837314073813
56,8.58299267,9792.90948039375,395.836521415672
57,5.61685133,9792.87469523284,395.835818394263
58,7.47730782,9792.84536516267,395.835225621285
59,5.49556798,9792.81535506101,395.834619103871
60,0.45481833,9793.58371709322,395.850147749842
61,1.24519396,9792.89072046406,395.836142270391
62,6.86524027,9792.82149014192,395.83474309665
63,130.38471878,9792.79182009468,395.83414345101
64,120.70516139,9792.76181015513,395.833536935063
65,136.5376496,9792.72736518154,395.832840783878
66,2.0216817,9793.58439704548,395.85016149135
67,0,9793.55472579061,395.849561844863
68,36.88575241,9792.7236101437,395.832764892371
69,391.99716701,9792.69871524099,395.832261752357
70,62.44829023,9792.66427057978,395.831565605014
71,0,9793.58507715749,395.850175236288
72,1.85717712,9793.55574606232,395.849582464144
73,54.78530792,9792.7096254359,395.832482253573
74,370.5737283,9792.66529064094,395.831586221179
75,94.0428186,9792.64517074328,395.831179585354
76,0,9793.58643743518,395.850202727045
77,11.84295635,9793.56154142747,395.849699586712
78,261.62730723,9792.6366409875,395.831007193676
79,2.42490596,9793.55778649438,395.849623700857
80,131.70366395,9792.63732114634,395.831020940125
81,0.23329408,9793.55403157682,395.849547814924
82,322.82507534,9792.64379667825,395.831151814636
83,448.30697174,9792.61378671582,395.830545293794
84,202.26203369,9792.5793420967,395.829849144436
85,1.28809458,9793.55982729383,395.849664944586
86,2.88006722,9792.60014225583,395.830269529976
87,161.28637983,9792.58036243496,395.829869765989
88,144.68248958,9792.5605827262,395.829470004065
89,7.3800194,9792.52102308602,395.828670474306
90,0.00690934,9793.59085880189,395.850292081476
91,20.40261258,9793.55607238599,395.849589059161
92,128.08844792,9792.52204355956,395.828691098956
93,4.69702387,9793.59153928813,395.850305833872
94,92.77612895,9792.52306380362,395.828711718665
95,131.20653342,9792.49339426402,395.82811207435
96,3.33580208,9793.59801514002,395.850436708474
97,177.36747002,9792.48963999884,395.828036197679
98,0,9793.62359160474,395.850953599705
99,2.46845927,9793.58368982752,395.85014719876
100,127.46005788,9792.5005503603,395.828256704614
101,226.4431079,9792.45587594409,395.82735379863
102,26.3557507,9792.43098132321,395.826850657331
103,4.06821836,9793.62461234092,395.850974228301
104,0.23204936,9793.58982570027,395.850271202804
105,2.98565057,9792.45689655499,395.827374425923
106,164.66744908,9792.4323421217,395.826878160133
107,4.41075126,9793.62051747866,395.85089147267
108,239.98669875,9792.42824759208,395.826795406215
109,3.83246545,9793.65632494969,395.851615127885
110,0.19075202,9793.61642297536,395.850808724304
111,120.1267376,9792.42960847294,395.826822910786
112,5.70345875,9793.65734567796,395.851635756185
113,26.47070744,9792.43540396309,395.826940042565
114,347.04157342,9792.40061955218,395.826237019421
