"GEO_ID","NAME","B25046_001E","B25046_001M","B25046_002E","B25046_002M","B25046_003E","B25046_003M",
"Geography","Geographic Area Name","Estimate!!Aggregate number of vehicles available:","Margin of Error!!Aggregate number of vehicles available:","Estimate!!Aggregate number of vehicles available:!!Owner occupied","Margin of Error!!Aggregate number of vehicles available:!!Owner occupied","Estimate!!Aggregate number of vehicles available:!!Renter occupied","Margin of Error!!Aggregate number of vehicles available:!!Renter occupied",
"1500000US150010210132","Block Group 2; Census Tract 210.13; Hawaii County; Hawaii","975","241","713","248","262","157",
"1500000US150010210133","Block Group 3; Census Tract 210.13; Hawaii County; Hawaii","1790","389","1532","363","258","141",
"1500000US150010210141","Block Group 1; Census Tract 210.14; Hawaii County; Hawaii","1086","618","572","326","514","542",
"1500000US150010210142","Block Group 2; Census Tract 210.14; Hawaii County; Hawaii","2452","836","1735","715","717","474",
"1500000US150010210143","Block Group 3; Census Tract 210.14; Hawaii County; Hawaii","2314","652","2037","663","277","226",
"1500000US150010210151","Block Group 1; Census Tract 210.15; Hawaii County; Hawaii","1665","616","1518","638","147","139",
"1500000US150010210152","Block Group 2; Census Tract 210.15; Hawaii County; Hawaii","2385","842","2128","873","257","251",
"1500000US150010210161","Block Group 1; Census Tract 210.16; Hawaii County; Hawaii","null","null","null","null","null","null",
"1500000US150010210162","Block Group 2; Census Tract 210.16; Hawaii County; Hawaii","1563","348","1243","328","320","190",
"1500000US150010210163","Block Group 3; Census Tract 210.16; Hawaii County; Hawaii","476","224","373","215","103","88",
"1500000US150010210171","Block Group 1; Census Tract 210.17; Hawaii County; Hawaii","628","222","553","212","75","67",
"1500000US150010210172","Block Group 2; Census Tract 210.17; Hawaii County; Hawaii","808","330","725","321","83","61",
"1500000US150010210173","Block Group 3; Census Tract 210.17; Hawaii County; Hawaii","1257","323","981","313","276","159",
"1500000US150010211011","Block Group 1; Census Tract 211.01; Hawaii County; Hawaii","98","81","98","81","-","**",
"1500000US150010211012","Block Group 2; Census Tract 211.01; Hawaii County; Hawaii","1511","305","1357","294","154","80",
"1500000US150010211013","Block Group 3; Census Tract 211.01; Hawaii County; Hawaii","799","275","698","273","101","72",
"1500000US150010211071","Block Group 1; Census Tract 211.07; Hawaii County; Hawaii","805","210","645","209","160","106",
"1500000US150010211081","Block Group 1; Census Tract 211.08; Hawaii County; Hawaii","1308","569","779","393","529","417",
"1500000US150010211082","Block Group 2; Census Tract 211.08; Hawaii County; Hawaii","1512","411","1361","409","151","115",
"1500000US150010211083","Block Group 3; Census Tract 211.08; Hawaii County; Hawaii","1375","404","1040","346","335","159",
"1500000US150010212031","Block Group 1; Census Tract 212.03; Hawaii County; Hawaii","1082","342","969","335","113","90",
"1500000US150010212032","Block Group 2; Census Tract 212.03; Hawaii County; Hawaii","1562","657","1275","656","287","198",
"1500000US150010212033","Block Group 3; Census Tract 212.03; Hawaii County; Hawaii","1384","563","1046","507","338","285",
"1500000US150010212034","Block Group 4; Census Tract 212.03; Hawaii County; Hawaii","258","193","234","191","24","23",
"1500000US150010212041","Block Group 1; Census Tract 212.04; Hawaii County; Hawaii","529","236","318","160","211","195",
