"GEO_ID","NAME","B25046_001E","B25046_001M","B25046_002E","B25046_002M","B25046_003E","B25046_003M",
"Geography","Geographic Area Name","Estimate!!Aggregate number of vehicles available:","Margin of Error!!Aggregate number of vehicles available:","Estimate!!Aggregate number of vehicles available:!!Owner occupied","Margin of Error!!Aggregate number of vehicles available:!!Owner occupied","Estimate!!Aggregate number of vehicles available:!!Renter occupied","Margin of Error!!Aggregate number of vehicles available:!!Renter occupied",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","828","189","607","165","221","90",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","452","127","394","121","58","34",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","1193","492","975","470","218","119",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","629","159","482","150","147","83",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","568","190","465","189","103","57",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","680","124","597","113","83","39",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","721","160","253","117","468","143",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","734","174","299","114","435","168",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","652","232","411","185","241","147",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","473","295","191","105","282","277",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","939","280","403","211","536","230",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","783","378","272","251","511","262",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","378","138","64","73","314","122",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","871","314","438","198","433","255",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","535","128","318","123","217","79",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","678","149","496","125","182","96",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","1037","122","960","117","77","35",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","1432","236","1272","231","160","56",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","1552","241","1083","229","469","176",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","1261","320","815","338","446","213",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","860","218","733","235","127","93",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","1294","407","892","188","402","380",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","1502","324","1286","315","216","129",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","1091","313","978","333","113","100",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","1646","356","1442","362","204","140",
"1500000US150010208013","Block Group 3, Census Tract 208.01, Hawaii County, Hawaii","531","146","433","132","98","94",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","1095","347","565","222","530","287",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","1974","389","1239","371","735","320",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","669","262","278","173","391","214",
"1500000US150010208025","Block Group 5, Census Tract 208.02, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","712","231","487","186","225","180",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","533","210","334","188","199","131",
"1500000US150010209004","Block Group 4, Census Tract 209, Hawaii County, Hawaii","470","121","392","116","78","74",
"1500000US150010209005","Block Group 5, Census Tract 209, Hawaii County, Hawaii","739","218","662","214","77","83",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","1264","336","1142","333","122","90",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","665","214","534","186","131","86",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","1747","534","1337","492","410","206",
"1500000US150010210034","Block Group 4, Census Tract 210.03, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010210035","Block Group 5, Census Tract 210.03, Hawaii County, Hawaii","1139","313","862","310","277","138",
"1500000US150010210111","Block Group 1, Census Tract 210.11, Hawaii County, Hawaii","871","307","498","201","373","227",
"1500000US150010210112","Block Group 2, Census Tract 210.11, Hawaii County, Hawaii","1084","408","1084","408","-","**",
"1500000US150010210113","Block Group 3, Census Tract 210.11, Hawaii County, Hawaii","939","379","785","379","154","120",
"1500000US150010210131","Block Group 1, Census Tract 210.13, Hawaii County, Hawaii","719","202","575","188","144","90",
"1500000US150010210132","Block Group 2, Census Tract 210.13, Hawaii County, Hawaii","989","274","731","264","258","153",
"1500000US150010210133","Block Group 3, Census Tract 210.13, Hawaii County, Hawaii","1987","423","1769","406","218","117",
"1500000US150010210141","Block Group 1, Census Tract 210.14, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010210142","Block Group 2, Census Tract 210.14, Hawaii County, Hawaii","2085","681","1529","537","556","484",
"1500000US150010210143","Block Group 3, Census Tract 210.14, Hawaii County, Hawaii","2111","681","1755","639","356","323",
"1500000US150010210151","Block Group 1, Census Tract 210.15, Hawaii County, Hawaii","2090","672","1845","688","245","190",
"1500000US150010210152","Block Group 2, Census Tract 210.15, Hawaii County, Hawaii","2102","787","2102","787","-","**",
"1500000US150010210161","Block Group 1, Census Tract 210.16, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010210162","Block Group 2, Census Tract 210.16, Hawaii County, Hawaii","1487","369","1233","357","254","166",
"1500000US150010210163","Block Group 3, Census Tract 210.16, Hawaii County, Hawaii","575","206","507","207","68","57",
"1500000US150010210171","Block Group 1, Census Tract 210.17, Hawaii County, Hawaii","445","134","337","122","108","55",
"1500000US150010210172","Block Group 2, Census Tract 210.17, Hawaii County, Hawaii","553","245","436","250","117","59",
"1500000US150010210173","Block Group 3, Census Tract 210.17, Hawaii County, Hawaii","1663","380","1202","316","461","295",
"1500000US150010211011","Block Group 1, Census Tract 211.01, Hawaii County, Hawaii","null","null","null","null","null","null",
"1500000US150010211012","Block Group 2, Census Tract 211.01, Hawaii County, Hawaii","1779","329","1575","312","204","112",
"1500000US150010211013","Block Group 3, Census Tract 211.01, Hawaii County, Hawaii","685","265","626","261","59","50",
"1500000US150010211071","Block Group 1, Census Tract 211.07, Hawaii County, Hawaii","1073","328","828","318","245","139",
"1500000US150010211081","Block Group 1, Census Tract 211.08, Hawaii County, Hawaii","1416","488","1106","456","310","284",
"1500000US150010211082","Block Group 2, Census Tract 211.08, Hawaii County, Hawaii","1613","471","1420","471","193","102",
"1500000US150010211083","Block Group 3, Census Tract 211.08, Hawaii County, Hawaii","1051","271","811","265","240","142",
"1500000US150010212031","Block Group 1, Census Tract 212.03, Hawaii County, Hawaii","1099","371","903","345","196","164",
