objectid,totloss,st_areashape,st_perimetershape
1,0.47546111,9793.52100724836,395.848880402628
2,312.04003676,9793.48656091188,395.848184250883
3,13.77154194,9793.46166508469,395.847681111555
4,8.18538206,9793.42244342894,395.846888449288
5,19.40192369,9793.40232305656,395.846481819587
6,17.64586701,9793.36787683163,395.845785665879
7,20.09710308,9793.51725141632,395.848804498374
8,0.00238339,9793.45790931213,395.847605208273
9,4.77783348,9793.41834782195,395.846805677653
10,23.10005977,9793.36412109406,395.845709762712
11,3.88077132,9793.33411039004,395.845103249138
12,6.42445817,9793.29966430145,395.844407095609
13,2.01311241,9793.2747687519,395.843903957242
14,4.26136795,9793.55305745656,395.849528128284
15,78.40657313,9793.51827116118,395.848825107045
16,3.43372669,9793.36480083291,395.845723500162
17,34.15718199,9793.33546986773,395.84513072408
18,9.7698878,9793.30068386841,395.844427701015
19,12.91794672,9793.27612818512,395.843931431368
20,16.68153388,9793.24611754713,395.843324916303
21,19.94002096,9793.21644688887,395.842725271517
22,31.07479571,9793.55407721327,395.849548737361
23,19.86424279,9793.20791622152,395.842552866142
24,30.19937119,9793.55032150042,395.84947283539
25,4.80904931,9793.21371107668,395.842669980584
26,12.84481777,9793.18881552186,395.842166839752
27,1.64569325,9793.14925468012,395.841367311556
28,27.94839233,9793.55134135397,395.849493446429
29,0.92509073,9793.18505993402,395.842090939146
30,11.49026394,9793.15061433781,395.841394790192
31,0.7955448,9793.12060389746,395.840788275336
32,0.27899336,9793.58203222972,395.850113699373
33,64.48795293,9793.54758594351,395.849417550583
34,0.81318675,9793.15640934508,395.841511908051
35,17.92981733,9793.12673873654,395.840912261269
36,6.64217822,9793.10218316534,395.840415989481
37,14.56213971,9793.06228265312,395.839609592736
38,83.74443439,9793.58271230462,395.85012744336
39,0.38440371,9793.55815621739,395.849631172796
40,17.26878717,9793.09808804757,395.840333226429
41,15.56491766,9793.0585273895,395.83953369814
42,7.13814711,9793.0339720149,395.839037428446
43,5.82369138,9793.00396172455,395.838430913009
44,3.80187607,9792.96951623465,395.837734759845
45,3.77904738,9792.94462092219,395.837231617789
46,148.12739535,9793.60862817376,395.850651194235
47,218.90365368,9793.58407211417,395.850154924761
48,11.87961767,9792.94086592279,395.837155727978
49,88.53368046,9793.60487280936,395.850575299568
50,9.39274832,9792.946660804,395.837272844466
51,2.04210469,9793.61578334058,395.850795797582
52,0.54898765,9793.58645209093,395.850203023194
53,19.00352223,9792.94290572855,395.837196953125
54,0,9793.61168797331,395.850713031583
55,8.4078411,9793.58713197503,395.850216763525
56,7.16445636,9792.94870081818,395.837314073813
57,9.45199548,9792.91425541564,395.836617920451
58,5.69186326,9792.88458527104,395.836018275935
59,7.95180857,9792.84502514824,395.835218749445
60,5.57355127,9792.8102400547,395.83451572716
61,0.45585615,9793.593267452,395.850340759323
62,1.24805825,9792.88594545717,395.836045765623
63,7.81083113,9792.82149014192,395.83474309665
64,134.64624149,9792.79659507657,395.834239955659
65,131.95968703,9792.76692515644,395.83364031198
66,142.00535446,9792.73214014843,395.832937288618
67,2.1382892,9793.58439704548,395.850161491451
68,0,9793.54995062872,395.849465340185
69,38.5874607,9792.73861525112,395.833068153821
70,453.52347664,9792.70383019283,395.83236512858
71,62.59458996,9792.65404051688,395.831358849132
72,0,9793.58030199061,395.850078731707
73,1.86141881,9793.55574606232,395.849582464144
74,60.76388355,9792.70485044137,395.832385748289
75,412.87467459,9792.66529064094,395.831586221179
76,97.09480881,9792.64517074328,395.831179585354
77,0,9793.58643743518,395.850202727045
78,14.96102556,9793.56154142747,395.849699586712
79,279.29445107,9792.6366409875,395.831007193676
80,2.43058309,9793.55778649438,395.849623700857
81,141.48681765,9792.64721106454,395.831220821542
82,0.69109276,9793.55403157682,395.849547814924
83,350.11033346,9792.64345657383,395.831144941011
84,455.04150309,9792.60389681762,395.830345412189
85,205.35011804,9792.58411698859,395.829945648214
86,1.29111024,9793.55505216694,395.84956844074
87,2.88673838,9792.60014225583,395.830269529976
88,181.78893501,9792.57524743365,395.829766388266
89,196.18514254,9792.55580784931,395.829373500298
90,16.90209018,9792.52579795291,395.828766977965
91,0.0341167,9793.58574353558,395.850188703528
92,23.7682016,9793.55095712968,395.849485681306
93,194.39603461,9792.52170343014,395.82868422458
94,4.96589742,9793.59153928813,395.850305833771
95,137.70204333,9792.51794880231,395.82860834064
96,241.53652207,9792.48861942213,395.82801557091
97,3.39496398,9793.5877845724,395.850229952299
98,305.46000192,9792.48963999884,395.828036197679
99,0,9793.62359160474,395.850953599705
100,2.68065948,9793.58880516147,395.850250577961
101,145.92898854,9792.49577553341,395.828160201589
102,249.71282695,9792.45587594409,395.82735379863
103,26.41747003,9792.43609631452,395.826954035665
104,4.12902788,9793.62461234092,395.850974228301
105,0.23257055,9793.59460084162,395.850367706721
106,14.3623648,9792.45689655499,395.827374425923
107,185.8974993,9792.43711692859,395.826974663043
108,4.52399308,9793.62051747866,395.85089147267
109,266.54175369,9792.42824759208,395.826795406215
110,3.85106883,9793.66110004658,395.851711630499
111,0.19118051,9793.62665361298,395.851015481845
