"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters",
"1500000US150030035012","Block Group 2, Census Tract 35.01, Honolulu County, Hawaii","1566","226","1561","228","866","122","435","120","171","91","264","84","431","107","248","96","183","65","308","76","0","11","40","38","22","26","255","89","255","89","0","11","0","11","0","11","22","26","10","15","0","11","0","11","7","12","0","11","31","34","5","11",
"1500000US150030035021","Block Group 1, Census Tract 35.02, Honolulu County, Hawaii","651","161","651","161","373","80","197","74","78","52","119","63","176","72","107","60","69","51","147","67","0","11","0","11","15","23","85","63","85","63","0","11","0","11","0","11","0","11","19","29","0","11","0","11","0","11","0","11","12","19","0","11",
"1500000US150030035022","Block Group 2, Census Tract 35.02, Honolulu County, Hawaii","1435","332","1435","332","791","166","384","157","197","140","187","72","407","135","313","112","94","93","97","55","0","11","24","29","0","11","148","162","148","162","0","11","0","11","0","11","16","27","76","99","0","11","0","11","234","292","0","11","49","47","0","11",
"1500000US150030035023","Block Group 3, Census Tract 35.02, Honolulu County, Hawaii","1783","324","1754","320","1033","156","472","140","265","124","207","81","561","174","381","161","180","82","243","92","0","11","40","46","0","11","303","207","284","200","0","11","19","30","31","52","0","11","55","66","0","11","17","28","0","11","0","11","32","36","29","27",
"1500000US150030036011","Block Group 1, Census Tract 36.01, Honolulu County, Hawaii","1353","319","1334","318","615","122","270","98","97","57","173","78","345","116","161","97","184","82","204","74","0","11","65","59","0","11","301","166","301","166","0","11","0","11","0","11","18","23","61","67","0","11","0","11","26","38","0","11","44","35","19","26",
"1500000US150030036012","Block Group 2, Census Tract 36.01, Honolulu County, Hawaii","2447","338","2447","338","1267","157","684","130","332","97","352","106","583","134","216","101","367","90","399","104","0","11","100","61","8","12","436","151","398","141","0","11","38","35","57","56","4","9","33","49","0","11","20","29","43","50","0","11","80","44","0","11",
"1500000US150030036031","Block Group 1, Census Tract 36.03, Honolulu County, Hawaii","1343","241","1343","241","768","108","507","98","279","82","228","81","261","94","168","84","93","48","263","84","0","11","0","11","0","11","218","113","180","102","0","11","38","51","12","20","20","22","17","30","0","11","0","11","16","23","0","11","29","25","0","11",
"1500000US150030036032","Block Group 2, Census Tract 36.03, Honolulu County, Hawaii","1511","256","1511","256","967","109","530","115","300","106","230","89","437","112","320","81","117","69","187","82","0","11","20","24","0","11","154","88","154","88","0","11","0","11","50","67","55","60","7","11","0","11","28","38","11","18","0","11","32","47","0","11",
"1500000US150030036041","Block Group 1, Census Tract 36.04, Honolulu County, Hawaii","742","181","742","181","477","106","343","97","266","92","77","47","134","60","75","53","59","33","116","53","0","11","0","11","0","11","95","73","95","73","0","11","0","11","0","11","13","19","12","18","0","11","0","11","0","11","0","11","29","37","0","11",
"1500000US150030036042","Block Group 2, Census Tract 36.04, Honolulu County, Hawaii","1496","274","1496","274","840","107","461","112","218","78","243","85","379","90","202","61","177","72","247","80","0","11","34","29","0","11","236","138","236","138","0","11","0","11","23","21","24","26","0","11","0","11","12","20","12","19","0","11","68","61","0","11",
"1500000US150030037001","Block Group 1, Census Tract 37, Honolulu County, Hawaii","368","206","368","206","149","75","67","49","0","11","67","49","82","60","15","23","67","68","96","86","0","11","18","29","0","11","105","121","105","121","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
