objectid,totloss,st_areashape,st_perimetershape
1,0.47546111,9793.52100724836,395.848880402628
2,94.33463145,9793.48656091188,395.848184250883
3,9.25778569,9793.46166508469,395.847681111555
4,7.25132456,9793.42244342894,395.846888449288
5,14.75464535,9793.40232305656,395.846481819587
6,12.29092026,9793.36787683163,395.845785665879
7,11.11819224,9793.51725141632,395.848804498374
8,0.00238339,9793.45790931213,395.847605208273
9,3.66729393,9793.41834782195,395.846805677653
10,16.80696241,9793.36412109406,395.845709762712
11,3.88077132,9793.33411039004,395.845103249138
12,6.42445817,9793.29966430145,395.844407095609
13,2.01311241,9793.2747687519,395.843903957242
14,4.26136795,9793.55305745656,395.849528128284
15,59.7587964,9793.51827116118,395.848825107045
16,1.92069503,9793.36480083291,395.845723500162
17,31.47271272,9793.33546986773,395.84513072408
18,6.02251916,9793.30068386841,395.844427701015
19,10.59001072,9793.27612818512,395.843931431368
20,10.23474232,9793.24611754713,395.843324916303
21,19.2710074,9793.21644688887,395.842725271517
22,31.06597859,9793.55407721327,395.849548737361
23,15.77235668,9793.20791622152,395.842552866142
24,29.43451963,9793.55032150042,395.84947283539
25,2.86610605,9793.21371107668,395.842669980584
26,7.98626041,9793.18881552186,395.842166839752
27,1.37830002,9793.14925468012,395.841367311556
28,20.68169132,9793.55134135397,395.849493446429
29,0.46825377,9793.18505993402,395.842090939146
30,7.81146972,9793.15061433781,395.841394790192
31,0.67969387,9793.12060389746,395.840788275336
32,0.27899336,9793.58203222972,395.850113699373
33,58.64172968,9793.54758594351,395.849417550583
34,9.087432,9793.12673873654,395.840912261269
35,5.90776226,9793.10218316534,395.840415989481
36,13.08567235,9793.06228265312,395.839609592736
37,79.57212761,9793.58271230462,395.85012744336
38,0.38440371,9793.55815621739,395.849631172796
39,12.87393935,9793.09808804757,395.840333226429
40,13.44823847,9793.0585273895,395.83953369814
41,6.1287115,9793.0339720149,395.839037428446
42,5.21849161,9793.00396172455,395.838430913009
43,3.08329166,9792.96951623465,395.837734759845
44,3.71372152,9792.94462092219,395.837231617789
45,148.12739535,9793.60862817376,395.850651194235
46,205.7607106,9793.58407211417,395.850154924761
47,10.50777469,9792.94086592279,395.837155727978
