objectid,fid_kau_ce,segmentid,st_fullnm,st_pre,st_name,st_type,st_suf,a1_fullnm,a1_st_pre,a1_st_name,a1_st_type,a1_st_suf,a2_fullnm,a2_st_pre,a2_st_name,a2_st_type,a2_st_suf,route_num,route_type,lf_addr,lt_addr,rf_addr,rt_addr,oneway,from_elev,to_elev,paved,private,geo_source,name,st_lengthshape
1,667,1280,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18398,18358,18399,18359,0,0,0,Y,N,1,KAUMUALII HWY,78.4428734463234
2,674,1307,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18098,18000,18099,18001,0,0,0,Y,N,1,KAUMUALII HWY,234.00221949835
3,678,1311,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,17998,17900,17999,17901,0,0,0,Y,N,1,KAUMUALII HWY,271.462677135973
4,786,281,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,10998,10952,10999,10953,0,0,0,Y,N,1,KAUMUALII HWY,4.15748205147049
5,1182,1238,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18701,18749,18700,18748,0,0,0,Y,N,1,KAUMUALII HWY,8.46248997017596
6,1190,1246,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18598,18550,18599,18551,0,0,0,Y,N,1,KAUMUALII HWY,253.518281664386
7,1202,1258,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18548,18500,18549,18501,0,0,0,Y,N,1,KAUMUALII HWY,93.694710908151
8,1211,1267,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18462,18400,18463,18401,0,0,0,Y,N,1,KAUMUALII HWY,48.1722897943334
9,1281,514,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18498,18464,18499,18465,0,0,0,Y,N,1,KAUMUALII HWY,59.2134374615067
10,1344,852,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,17898,17624,17899,17625,0,0,0,Y,N,1,KAUMUALII HWY,575.453332764881
