objectid,fid_kau_ce,segmentid,st_fullnm,st_pre,st_name,st_type,st_suf,a1_fullnm,a1_st_pre,a1_st_name,a1_st_type,a1_st_suf,a2_fullnm,a2_st_pre,a2_st_name,a2_st_type,a2_st_suf,route_num,route_type,lf_addr,lt_addr,rf_addr,rt_addr,oneway,from_elev,to_elev,paved,private,geo_source,name,st_lengthshape
11,1387,1297,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18298,18200,18299,18201,0,0,0,Y,N,1,KAUMUALII HWY,409.855493266786
12,1390,1300,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18198,18100,18199,18101,0,0,0,Y,N,1,KAUMUALII HWY,235.971895222578
13,1697,917,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3,18698,18600,18699,18601,0,0,0,Y,N,1,KAUMUALII HWY,356.05591262713
14,1712,957,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3, , , , ,0,0,0,Y,N,1,KAUMUALII HWY,44.6250178536954
15,1724,969,KAUMUALII HWY, ,KAUMUALII,HWY, ,HI-50, ,HI-50, , , , , , , ,50,3, , , , ,0,0,0,Y,N,1,KAUMUALII HWY,7.24413724018387
16,2640,2313,KUHIO HWY, ,KUHIO,HWY, ,HI-56, ,HI-56, , , , , , , ,56,3,4771,4859,4772,4858,0,0,0,Y,N,1,KUHIO HWY,9.19436014695376
17,3165,3064,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,3,56698,56602,56699,56601,0,0,0,Y,N,1,KUHIO HWY,79.7460188944837
18,3327,3305,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,3,57738,57642,57699,57653,0,0,0,Y,N,1,KUHIO HWY,3.229726565808
19,3338,3316,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,3,58398,57740,58399,57701,0,0,0,Y,N,1,KUHIO HWY,276.09184364344
20,3561,3562,KUHIO HWY, ,KUHIO,HWY, ,HI-560, ,HI-560, , , , , , , ,560,0,56801,56939,56800,56998,0,0,0,Y,N,1,KUHIO HWY,20.7732646576919
21,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,62.3811500806482
22,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,PIILANI HIGHWAY,4.28286426924474
23,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HANA HIGHWAY 36,4.1640293428938
24,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,NORTH KIHEI ROAD,465.410149978751
25,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,NORTH KIHEI ROAD,115.186599181615
26,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,NORTH KIHEI ROAD,448.37668887758
27,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,10.0415409185615
28,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,10.0529369874642
29,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,15.4613502017848
30,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAHULUI BEACH ROAD,264.711705833406
31,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,4.54879037941038
32,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,125.040771160822
33,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,75.2803581383143
34,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,97.9607218882763
35,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,210.066795455002
36,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,282.569400835642
37,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,93.2987443849601
38,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,215.163590634006
39,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,17.1968370958151
40,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,445.060279751944
41,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,20.9126934809626
42,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,60.9444363655445
43,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,93.0856832051122
44,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,225.539345579896
45,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,5.91940699229127
46,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,217.543571000117
47,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,79.0208768601725
48,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,36.6977554907497
49,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,114.470264681849
50,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,34.4438909760718
51,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,47.1494903209636
52,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,64.0356012647017
53,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,8.69757551973434
54,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,83.5358966189289
55,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,63.629542582231
56,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,65.3114967155378
57,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,570.81336443083
58,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,HONOAPIILANI HIGHWAY,0.706495045230156
59,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,8.67573031951198
60,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,71.7309283646518
61,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,115.724863760426
62,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,149.809194504163
63,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,194.286404489811
64,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,41.835231480637
65,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,55.6952080872138
66,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,SOUTH KIHEI ROAD,115.205039491618
67,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,111.042653510543
68,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,59.353073108541
69,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,208.79059788468
70,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,0.212877476008605
71,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,8.77966461742817
72,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,152.177762918353
73,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,121.178073369106
74,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,58.1249560596203
75,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0, ,75.5175781825329
76,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,40.7270937205405
77,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,515.567149364513
78,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,27.1600303420103
79,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,1072.63186019984
80,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0, ,489.935215377721
81,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,25.4149266841823
82,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,363.240212588582
83,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,0.4336747626679
84,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,64.0426645637681
85,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,60.4165308515291
86,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,29.5541062572429
87,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,23.4745210018294
88,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,147.242894646795
89,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,574.59867370932
90,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,FARRINGTON HWY,8.76220411701449
91,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KALANIANAOLE HWY,44.9269138670801
92,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KALANIANAOLE HWY,13.0820722856468
93,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,ALA MOANA,3.86639734820189
94,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,ALA MOANA,66.297271506427
95,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAPIOLANI BLVD,4.3742026379395
96,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAPIOLANI BLVD,5.24256589568033
97,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0,KAM HWY,304.176109316
98,0,0, , , , , , , , , , , , , , , , ,0, , , , ,0,0,0, , ,0, ,699.860622714921
