"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1000000US150010201002017","Block 2017, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002018","Block 2018, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002019","Block 2019, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002020","Block 2020, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002021","Block 2021, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002022","Block 2022, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002023","Block 2023, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002024","Block 2024, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002025","Block 2025, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002026","Block 2026, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002027","Block 2027, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002028","Block 2028, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002029","Block 2029, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002030","Block 2030, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002031","Block 2031, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002032","Block 2032, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002033","Block 2033, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002034","Block 2034, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002035","Block 2035, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002036","Block 2036, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002037","Block 2037, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002038","Block 2038, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002039","Block 2039, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002040","Block 2040, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002041","Block 2041, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002042","Block 2042, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002043","Block 2043, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002044","Block 2044, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002045","Block 2045, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002046","Block 2046, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002047","Block 2047, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002048","Block 2048, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002049","Block 2049, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002050","Block 2050, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002051","Block 2051, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002052","Block 2052, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002053","Block 2053, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002054","Block 2054, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002055","Block 2055, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201002056","Block 2056, Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003000","Block 3000, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003001","Block 3001, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003002","Block 3002, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003003","Block 3003, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003004","Block 3004, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1000000US150010201003005","Block 3005, Block Group 3, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
