X,Y,OBJECTID,ENABLED,ANCILLARYROLE,SEWERID,BASINID,PROJECTID,STATUS,OWNER,DATEINSTALLED,DATEDIGITIZED,DATEMODIFIED,ADDRESS,TANKCAPACITY,GLOBALID,PUMPTYPE,TMK,LPPUMPSUBTYPE,NO_PUMPS,NEIGHBORHOOD,GROUNDELEV
-157.927119448,21.651514536,105,1,0,4041334,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-649  KAM HWY,,{EE02C124-B623-4067-8AA9-3B41B513388B},LP,55003206,1,,LAIE,
-157.928636884,21.6515937680001,106,1,0,4041344,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-671  NANILOA LP,,{D4AFFA49-A7F8-49D1-8607-28BE66C47EEC},LP,55016044,1,,LAIE,
-157.929914644,21.650497285,107,1,0,4041353,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-87B LANIHULI ST,,{5C8E35E7-D76C-4184-8891-9F110062F432},LP,55017015,1,,LAIE,
-157.928780228,21.6507478290001,108,1,0,4041370,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-652  LOALA ST,,{B76A5168-12CC-49C6-9B15-F1E0FF8E76CC},LP,55016019,1,,LAIE,
-157.928242919,21.6502550880001,109,1,0,4041376,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-645  LOALA ST,,{89C78AB5-76BE-45E1-99F8-59A072AAF173},LP,55016024,1,,LAIE,
-157.928215665,21.650144459,110,1,0,4041377,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-63  LANIHULI ST,,{4366736F-DF0C-4121-89FB-810D8391BD91},LP,55016025,1,,LAIE,
-157.927342882,21.6507595100001,111,1,0,4041387,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-652  WAHINEPEE ST,,{D5A730BD-943A-42E1-AFD1-31C8D18DC4A0},LP,55016031,1,,LAIE,
-157.925880635,21.651214297,112,1,0,4041391,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2022/05/02 15:15:34+00,55-629  KAM HWY,,{90083F3A-4CAC-430B-B621-3BBEBFA185A4},LP,55003037,1,,LAIE,
-157.926295212,21.650553985,113,1,0,4041405,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-31A LANIHULI ST,,{51391205-234E-4DB2-8569-0A57902395AA},LP,55016061,1,,LAIE,
-157.925350768,21.6500909590001,114,1,0,4041420,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-96  KULANUI LANE,,{1DC89194-F871-4C7E-AE2E-E5C3F327CC22},LP,55015031,1,,LAIE,
-157.926040497,21.6501648990001,115,1,0,4041425,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-26  LANIHULI ST,,{AE2ECECA-271D-4AEF-9353-F69DABC32513},LP,55015026,1,,LAIE,
-157.927083847,21.6492066370001,116,1,0,4041457,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-615  MOANA ST,,{DC4130F0-D29F-4851-896A-C9BA76F1B57D},LP,55015004,1,,LAIE,
-157.927673357,21.6487344220001,117,1,0,4041463,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-614  MOANA ST,,{FCBEBFDD-8879-40D8-A506-669049C38930},LP,55016013,1,,LAIE,
-157.92391228,21.6481559590001,118,1,0,4041487,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-127  PUUAHI ST,,{3FC56ADE-2984-4AC6-8177-12FA9D981B76},LP,55013089,1,,LAIE,
-157.925646152,21.647950103,119,1,0,4041495,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-159  PUUAHI ST,,{6CFEEFB2-25A0-4983-AD06-051532AF9394},LP,55012076,1,,LAIE,
-157.927147571,21.6467011170001,120,1,0,4041514,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-544  MOANA ST,,{2215823F-414F-4E1F-84FD-C52F9C46405C},LP,55012094,1,,LAIE,
-157.925703028,21.6450210960001,121,1,0,4041528,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-514  MOANA ST,,{673FB7EE-8353-44E6-9937-F649C11C4D4D},LP,55012109,1,,LAIE,
-157.925830965,21.6459979160001,122,1,0,4041539,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-521  MOANA ST,,{073E2CC9-FD7B-4B4B-B03D-5738B8B5934B},LP,55012043,1,,LAIE,
-157.925070783,21.647827084,123,1,0,4041576,LA,0,ACT,CITY,2019/05/21 00:00:00+00,,2021/03/02 13:58:22+00,55-146A PUUAHI ST,265,{0409D2D5-D328-4F36-BABD-856BA4825182},LP,55012121,1,1,LAIE,
-157.924200981,21.6470687990001,124,1,0,4041608,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-156  KULANUI ST,,{1BFDF3D5-5119-4946-9A91-6ABDDF3F63D5},LP,55013068,1,,LAIE,
-157.923008669,21.646698755,125,1,0,4041622,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-472A PALEKANA ST,,{77BD65E9-EFA7-4901-8B85-E5918BB009F1},LP,55013095,1,,LAIE,
-157.923274705,21.6462304890001,126,1,0,4041628,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-473  IOSEPA ST,,{8F27537A-E6C6-400A-88FF-6B191ADCB40D},LP,55013056,1,,LAIE,
-157.924109871,21.645339306,127,1,0,4041639,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-479  MOANA ST,,{EB23357C-43C4-49D9-964B-946BE7593AAA},LP,55013027,1,,LAIE,
-157.923003915,21.645638944,128,1,0,4041648,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-466  IOSEPA ST,,{162BF862-FBBA-45CB-BEC7-8C03844F4053},LP,55013043,1,,LAIE,
-157.922241612,21.645151797,129,1,0,4041654,LA,0,ACT,CITY,2017/10/15 00:00:00+00,,2018/12/21 10:24:39+00,55-445  MOANA ST,265,{92FDF718-54F0-48AA-AB12-38B9759EDC96},LP,55013036,1,1,LAIE,
-157.922262376,21.6456248920001,130,1,0,4041656,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-456  IOSEPA ST,,{76DA9CB3-977E-479F-B377-5BD5BDDF9556},LP,55013040,1,,LAIE,
-157.921674441,21.6450719010001,131,1,0,4041665,LA,0,ACT,CITY,2018/10/15 00:00:00+00,,2018/12/17 13:54:46+00,55-429 MOANA ST,265,{6E577FED-CEAC-41F7-980A-E964BBC9E7B6},LP,55014043,1,1,LAIE,
-157.921415963,21.645400685,132,1,0,4041666,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-438  IOSEPA ST,,{F74A4506-7092-49BC-B2D0-88AE8ACE4F84},LP,55014038,1,,LAIE,
-157.927606202,21.650396367,133,1,0,4041733,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-49  LANIHULI ST,,{56EDC16E-D665-4524-AFB5-4C1F2AE0CA6C},LP,55016030,1,,LAIE,
-157.898497919,21.335441213,134,1,0,4016022,SI,6255,ACT,PVT,1998/12/07 00:00:00+00,2003/03/31 00:00:00+00,2003/07/23 00:00:00+00,609  AHUA ST,,{267CE7BD-6D3B-4EF2-A866-E207D5E30543},LP,11005004,1,,AIRPORT,
