"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","537","101","78","33","33","25","9","8","31","23","29","27","45","37","18","19","10","14","36","27","52","37","35","31","46","34","41","32","32","29","32","29","10","17",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","238","73","39","48","8","9","2","4","0","12","5","8","9","9","10","10","6","7","2","4","9","8","37","21","8","10","40","23","9","11","32","42","22","23",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","451","113","5","5","31","25","6","6","8","9","5","6","28","33","10","10","23","14","3","5","16","11","35","17","67","41","32","18","35","19","101","94","46","26",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","307","66","46","29","0","12","32","31","12","14","30","25","0","12","0","12","4","5","0","12","52","30","25","19","47","25","25","23","15","19","10","13","9","15",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","285","90","0","12","43","37","5","7","0","12","1","2","0","12","26","28","13","22","27","29","62","69","17","14","18","15","30","29","23","17","13","19","7","9",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","373","71","10","8","67","71","17","18","12","12","16","15","19","18","9","9","17","13","16","17","35","18","24","19","56","26","26","13","27","17","7","7","15","11",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","264","73","28","35","0","12","0","12","31","32","0","12","9","15","0","12","0","12","0","12","16","20","16","18","70","52","26","29","12","19","32","26","24","26",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","651","143","78","67","16","22","59","49","108","76","14","19","51","53","23","24","11","20","7","13","74","90","84","74","12","19","49","42","28","30","37","53","0","12",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","778","144","182","85","65","43","76","66","53","44","140","98","50","49","29","28","0","12","8","12","11","18","51","37","27","41","37","32","0","12","24","26","25","30",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","406","132","41","47","47","53","35","46","0","12","6","11","0","12","15","23","15","16","8","13","40","36","52","70","31","31","50","59","21","30","37","42","8","12",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","324","161","0","12","55","42","33","43","7","11","0","12","14","17","0","12","8","13","23","29","9","15","0","12","93","135","42","48","6","11","28","40","6","9",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","621","141","51","46","27","33","46","36","37","47","4","8","61","72","35","42","14","24","29","23","47","43","69","62","125","95","26","40","16","24","7","12","27","44",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","455","198","135","98","19","30","0","12","48","75","60","79","0","12","0","12","25","35","0","12","0","12","20","34","17","29","131","123","0","12","0","12","0","12",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","520","172","38","68","65","55","22","35","42","68","20","33","51","64","0","12","26","37","25","39","86","119","0","12","84","89","0","12","61","67","0","12","0","12",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","329","116","43","39","78","81","54","69","0","12","67","43","0","12","22","38","0","12","19","33","33","41","13","21","0","12","0","12","0","12","0","12","0","12",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","627","160","87","81","57","62","104","113","33","37","0","12","19","32","0","12","33","28","22","31","38","48","34","37","47","40","20","33","114","117","16","19","3","6",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","410","93","18","17","57","53","11","15","9","12","5","8","0","12","31","26","22","31","0","12","50","46","113","59","32","25","0","12","28","39","26","28","8","11",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","333","71","14","8","3","4","9","7","14","14","9","11","46","41","9","7","7","6","10","11","17","14","50","44","32","22","46","41","42","33","7","6","18","16",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","469","49","15","9","10","8","12","8","30","17","11","8","23","14","29","12","15","13","20","12","41","19","61","20","63","23","53","19","24","13","34","13","28","13",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","747","124","64","37","13","9","18","15","18","10","32","18","85","84","29","28","23","11","25","14","71","30","57","34","115","45","74","35","20","11","68","33","35","21",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","847","121","103","83","45","40","0","12","41","41","35","31","36","33","26","25","37","39","71","65","52","43","118","77","87","56","44","29","22","22","74","55","56","37",
