"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","758","120","82","36","85","36","10","10","50","30","19","21","45","34","34","26","14","8","3","3","72","38","45","21","71","36","84","47","52","27","42","24","50","25",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","332","100","43","54","14","12","38","47","0","11","11","10","7","8","9","12","7","8","28","38","14","10","37","21","39","23","15","13","10","12","51","53","9","8",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","210","61","4","5","3","5","11","18","12","19","0","11","12","19","13","16","10","13","42","31","3","4","21","24","28","29","35","31","4","5","12","18","0","11",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","320","82","38","31","9","15","25","30","4","5","50","35","4","5","0","11","4","5","4","5","54","29","13","10","65","35","30","24","5","7","4","5","11","17",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","241","51","0","11","45","37","8","8","0","11","0","11","0","11","3","9","21","17","32","34","10","10","23","24","23","19","48","31","8","10","13","15","7","10",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","410","70","17","14","67","68","20","19","12","13","20","17","16","10","11","12","21","16","14","16","26","16","32","19","66","30","28","18","20","14","8","8","32","18",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","258","60","6","11","0","11","0","11","26","26","0","11","10","16","0","11","13","22","0","11","29","24","17","19","30","25","29","30","26","28","45","33","27","30",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","560","133","91","50","26","31","59","50","69","52","20","25","60","57","11","15","9","16","7","12","22","24","50","38","13","21","52","53","27","33","44","51","0","11",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","880","130","217","90","70","49","69","68","70","60","149","101","32","30","42","30","0","11","10","15","8","14","73","37","61","58","46","40","0","11","24","26","9","15",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","350","128","50","47","26","31","37","34","0","11","0","11","8","12","16","18","0","11","20","19","30","22","8","13","111","102","0","11","17","26","0","11","27","41",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","259","103","35","45","7","12","20","17","27","44","0","11","63","78","11","16","0","11","6","10","0","11","55","41","9","14","26","41","0","11","0","11","0","11",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","461","140","57","43","51","60","44","48","30","42","6","10","0","11","23","25","6","9","8","12","41","26","51","72","52","43","27","37","37","28","20","34","8","13",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","230","73","0","11","51","46","25","38","14","16","0","11","20","18","0","11","7","10","22","30","24","18","0","11","12","14","34","41","6","11","9","13","6","10",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","443","144","47","55","17","27","0","11","51","80","111","102","22","39","47","74","34","44","0","11","16","27","0","11","15","24","29","29","54","83","0","11","0","11",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","182","70","0","11","28","41","16","25","18","31","17","31","0","11","0","11","32","27","22","38","29","38","20","31","0","11","0","11","0","11","0","11","0","11",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","254","145","29","45","0","11","13","21","16","26","42","46","0","11","0","11","0","11","27","45","0","11","16","27","14","22","0","11","97","122","0","11","0","11",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","616","165","0","11","118","104","75","89","45","69","28","49","77","75","0","11","22","32","19","32","64","90","0","11","86","82","23","41","59","61","0","11","0","11",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","635","137","109","78","89","87","144","134","17","29","91","55","0","11","16","26","0","11","3","5","61","50","16","23","47","45","40","46","0","11","0","11","2","5",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","344","84","18","17","45","47","11","14","9","12","0","11","31","44","10","13","25","36","9","12","49","46","67","38","38","23","0","11","11","15","11","14","10","13",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","496","73","22","13","10","7","13","8","19","11","20","15","39","38","10","8","21","11","13","12","29","19","94","52","45","19","81","46","42","33","24","11","14","9",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","302","37","14","10","9","8","16","9","15","10","10","8","17","12","26","14","7","7","7","9","39","16","30","15","36","14","34","12","22","12","11","10","9","8",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","704","61","64","34","34","20","23","16","25","10","31","15","15","10","20","12","22","12","25","13","83","40","48","25","123","48","66","26","34","19","51","25","40","25",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","928","120","161","91","48","42","11","17","18","24","56","40","29","28","36","30","25","31","51","50","95","57","65","54","98","53","69","41","33","29","72","52","61","44",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","425","92","70","55","10","15","55","64","24","27","11","19","23","26","12","20","0","11","22","27","13","20","33","27","60","42","62","57","12","19","18","21","0","11",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","425","81","0","11","21","33","26","30","13","19","31","48","44","35","19","24","32","28","0","11","30","28","19","23","55","40","87","48","36","36","12","19","0","11",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","498","80","0","11","0","11","9","15","0","11","36","46","0","11","10","15","30","29","11","13","36","35","51","46","140","56","38","31","68","38","54","31","15","19",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","774","105","0","11","35","45","26","28","31","46","13","20","35","30","10","16","0","11","9","14","37","30","131","80","190","75","116","56","64","53","67","38","10","17",
