"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","760","86","61","28","90","40","16","10","62","34","30","24","51","43","42","29","10","6","14","16","86","41","43","24","75","34","69","53","35","19","43","24","33","21",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","276","83","5","8","11","12","37","46","5","8","0","11","9","11","7","9","7","8","27","39","11","10","42","24","39","24","13","13","43","44","17","22","3","5",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","212","65","0","11","14","18","10","16","11","17","0","11","0","11","14","15","30","25","31","28","0","11","63","52","25","24","0","11","14","18","0","11","0","11",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","384","78","70","40","30","32","47","44","0","11","40","34","7","7","0","11","0","11","4","5","45","31","23","20","58","34","27","26","18","17","4","5","11","16",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","215","50","2","4","37","35","13","10","12","16","0","11","0","11","0","11","20","16","29","29","11","11","15","17","30","19","27","17","8","8","6","9","5","7",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","434","64","25","15","80","62","35","25","32","24","20","17","7","7","9","9","16","13","15","15","21","12","37","25","58","28","29","22","11","10","6","8","33","18",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","298","61","45","40","0","11","0","11","17","22","0","11","9","14","0","11","13","23","0","11","20","22","28","26","55","42","37","31","33","30","34","31","7","11",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","659","144","114","64","73","64","53","45","48","38","20","23","49","54","41","52","18","20","29","47","12","19","89","56","10","17","54","56","0","11","49","51","0","11",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","710","121","205","92","50","42","46","34","72","64","23","25","18","19","30","28","18","22","0","11","20","22","57","33","70","62","33","36","0","11","68","53","0","11",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","382","112","52","49","39","38","26","23","4","7","46","42","9","14","9","17","11","11","6","11","31","24","66","83","21","22","0","11","17","27","16","17","29","41",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","241","91","35","44","15","17","21","18","26","41","41","61","13","16","0","11","0","11","0","11","0","11","55","39","9","16","26","42","0","11","0","11","0","11",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","420","111","58","44","46","57","21","23","62","48","6","10","24","38","7","12","6","9","14","15","30","25","35","57","35","37","35","33","26","23","15","24","0","11",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","260","75","21","31","46","40","36","48","8","13","0","11","15","17","0","11","7","10","20","24","15","17","7","11","12","13","32","38","27","29","8","12","6","9",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","476","174","50","48","53","52","0","11","0","11","114","125","14","25","44","68","41","46","0","11","0","11","14","22","37","41","9","21","72","103","28","43","0","11",
