"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","761","108","153","53","78","37","35","25","56","35","55","24","41","29","43","22","11","9","33","21","55","25","33","18","79","40","44","41","33","19","9","8","3","4",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","347","84","6","8","16","13","21","12","39","48","5","7","16","15","19","14","5","6","0","11","26","19","44","43","51","26","87","73","4","7","3","6","5","7",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","359","91","15","18","33","45","12","16","27","24","33","22","35","27","3","4","12","16","21","20","8","9","19","21","21","20","66","52","47","45","7","13","0","11",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","353","68","10","15","4","6","18","18","39","33","21","23","8","14","28","25","51","34","8","14","14","18","55","29","43","28","36","27","5","7","13","16","0","11",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","248","65","38","35","6","8","6","8","5","7","16","15","4","7","96","72","0","11","0","11","20","20","15","13","2","4","2","5","12","16","16","14","10","11",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","437","66","24","19","23","15","50","33","33","28","25","13","32","21","13","10","18","16","7","7","28","15","39","26","35","19","21","19","39","23","18","16","32","20",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","442","82","27","31","33","52","22","25","31","48","43","40","9","17","0","11","19","30","8","27","0","11","79","51","15","20","65","55","47","42","44","32","0","11",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","374","107","80","54","12","19","71","68","45","44","20","22","70","58","8","14","13","22","32","38","0","11","13","20","0","11","0","11","0","11","10","15","0","11",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","778","127","164","79","106","67","62","43","39","44","51","63","12","19","24","27","0","11","42","46","12","20","63","46","45","48","96","78","21","26","19","22","22","26",
