"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","705","84","63","32","94","38","25","20","70","41","18","15","43","29","39","27","22","19","11","8","68","34","71","28","46","24","61","40","16","10","41","23","17","12",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","314","86","5","7","11","12","41","43","13","12","0","11","16","17","7","7","28","37","0","11","10","12","78","58","31","22","47","47","9","9","13","20","5","8",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","309","97","2","4","10","15","21","23","10","15","11","17","13","15","12","20","9","14","40","32","0","11","72","55","15","17","36","54","58","48","0","11","0","11",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","388","86","51","38","39","27","22","24","9","14","51","37","6","6","20","21","10","17","11","9","40","28","45","29","27","19","34","29","10","14","3","5","10","15",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","182","42","1","3","33","31","21","15","9","14","4","7","0","11","7","10","26","24","6","9","12","13","6","7","17","14","14","14","0","11","21","17","5","7",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","463","65","34","20","79","60","47","32","29","20","16","14","18","13","8","8","10","10","10","11","20","15","41","24","65","23","48","27","7","6","13","12","18","12",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","327","76","28","28","34","55","0","11","17","19","9","16","0","11","0","11","13","22","7","15","9","15","27","26","70","46","39","32","47","27","27","25","0","11",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","537","129","72","46","87","69","11","21","47","35","17","19","46","50","38","49","16","16","26","44","10","17","90","47","0","11","34","40","0","11","43","45","0","11",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","718","113","201","70","42","33","19","21","92","56","27","30","8","14","28","22","8","12","0","11","36","42","28","26","109","78","52","40","11","17","49","42","8","14",
