"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US150010216051","Block Group 1, Census Tract 216.05, Hawaii County, Hawaii","471","134","28","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","21","44","72","18","30","79","68","22","19","72","72","79","46","116","105",
"1500000US150010216052","Block Group 2, Census Tract 216.05, Hawaii County, Hawaii","343","147","0","12","52","81","0","12","0","12","0","12","0","12","53","79","16","27","15","23","15","23","100","101","33","36","14","22","31","36","14","22","0","12",
"1500000US150010216053","Block Group 3, Census Tract 216.05, Hawaii County, Hawaii","963","241","41","40","0","12","40","63","0","12","120","134","0","12","0","12","59","93","13","21","95","84","65","80","107","107","186","129","74","77","110","97","53","63",
"1500000US150010216061","Block Group 1, Census Tract 216.06, Hawaii County, Hawaii","620","169","62","72","105","78","34","44","0","12","0","12","78","82","27","31","67","82","67","83","13","21","40","62","76","78","51","78","0","12","0","12","0","12",
"1500000US150010216062","Block Group 2, Census Tract 216.06, Hawaii County, Hawaii","718","171","0","12","0","12","0","12","16","27","32","36","41","64","0","12","0","12","14","24","41","35","62","59","205","113","41","37","79","61","71","65","116","100",
"1500000US150010216071","Block Group 1, Census Tract 216.07, Hawaii County, Hawaii","634","188","16","25","0","12","16","26","0","12","37","42","0","12","0","12","0","12","35","38","63","79","5","8","18","28","31","36","132","137","84","98","197","127",
"1500000US150010216072","Block Group 2, Census Tract 216.07, Hawaii County, Hawaii","754","245","17","26","0","12","0","12","23","29","0","12","16","28","101","102","5","8","0","12","42","66","222","227","44","41","93","72","49","67","75","56","67","42",
"1500000US150010216073","Block Group 3, Census Tract 216.07, Hawaii County, Hawaii","435","104","0","12","16","24","18","30","21","35","19","31","0","12","16","26","51","65","0","12","68","85","0","12","45","42","79","62","49","55","21","32","32","37",
"1500000US150010216081","Block Group 1, Census Tract 216.08, Hawaii County, Hawaii","253","140","18","28","0","12","0","12","0","12","18","30","13","21","0","12","0","12","18","28","24","38","14","23","15","24","45","70","0","12","0","12","88","93",
"1500000US150010216082","Block Group 2, Census Tract 216.08, Hawaii County, Hawaii","386","254","0","12","0","12","0","12","0","12","0","12","0","12","0","12","159","198","0","12","0","12","58","89","28","32","17","28","68","106","40","63","16","27",
