"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","651","75","83","32","65","24","22","17","57","31","8","8","59","31","26","24","29","19","19","15","63","31","49","23","54","29","72","44","16","10","23","15","6","5",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","331","85","4","6","35","40","15","12","15","11","5","7","18","15","12","11","29","40","0","11","15","13","71","53","39","22","69","60","0","11","0","11","4","8",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","308","94","3","4","9","13","18","22","20","20","19","15","15","19","12","18","8","13","19","21","4","5","58","50","14","18","29","45","63","51","17","26","0","11",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","413","70","40","30","46","29","9","15","21","19","63","39","13","15","20","22","28","25","10","7","23","19","40","29","42","28","28","25","17","19","3","5","10","14",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","179","40","20","18","27","26","31","22","4","6","5","7","0","11","12","12","0","11","0","11","10","10","22","17","17","14","9","12","0","11","18","16","4","5",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","463","54","30","17","80","54","58","32","39","24","21","17","22","14","4","6","8","8","19","13","19","12","38","26","34","16","40","21","12","9","16","14","23","14",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","343","84","31","41","35","56","9","14","9","13","23","34","0","11","0","11","16","25","6","11","0","11","60","38","34","34","35","27","36","32","49","37","0","11",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","524","133","73","46","101","69","42","68","15","17","34","30","42","51","43","53","0","11","27","45","10","16","78","47","0","11","41","49","0","11","18","15","0","11",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","658","131","122","71","33","33","21","23","88","61","19","21","10","17","32","23","33","30","0","11","39","46","49","40","95","77","61","43","28","34","18","20","10","16",
