"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","645","98","89","38","75","34","16","15","42","25","35","18","39","25","31","20","30","20","18","14","46","28","38","19","69","33","71","47","32","22","8","5","6","5",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","318","87","4","6","37","40","13","12","14","10","5","7","19","17","9","11","33","38","0","11","18","15","45","46","55","27","55","56","5","7","2","3","4","7",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","315","86","0","11","7","12","18","19","21","21","18","15","23","17","15","19","0","11","28","25","3","4","63","52","10","16","50","45","43","43","16","24","0","11",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","420","82","29","24","24","25","16","19","30","23","34","26","12","14","26","24","40","29","17","17","35","28","59","34","43","28","26","22","17","17","12","15","0","11",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","157","36","21","18","4","7","29","22","5","9","6","8","6","8","14","13","0","11","0","11","13","14","15","14","14","13","4","7","0","11","23","19","3","5",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","457","48","36","19","36","20","62","37","51","24","14","11","32","22","8","8","13","12","10","9","14","12","45","20","41","17","34","22","18","12","15","16","28","21",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","411","83","33","39","32","49","21","23","42","47","24","31","0","11","7","17","0","11","45","52","0","11","39","32","58","51","31","29","34","25","45","33","0","11",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","451","119","94","47","77","69","38","62","34","37","30","31","11","17","34","46","0","11","26","42","12","19","76","47","0","11","0","11","0","11","19","17","0","11",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","642","139","66","50","32","30","36","31","70","43","51","65","11","18","37","31","24","27","31","37","0","11","72","52","79","66","76","75","29","32","15","17","13","20",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","370","92","71","48","9","16","28","31","29","33","45","48","13","17","36","27","0","11","16","26","18","22","0","11","77","69","6","11","0","11","13","16","9","14",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","148","67","27","36","17","21","19","18","4","6","6","11","13","22","0","11","0","11","26","36","0","11","29","37","0","11","7","11","0","11","0","11","0","11",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","525","112","127","75","60","58","46","48","16","25","105","76","48","54","0","11","0","11","7","14","3","8","66","47","15","20","22","29","10","12","0","11","0","11",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","258","79","31","31","17","22","0","11","11","14","0","11","60","60","8","14","0","11","0","11","26","21","16","18","30","23","31","35","12","16","16","20","0","11",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","586","157","151","85","79","71","34","53","95","106","0","11","73","72","38","60","0","11","26","30","12","20","14","22","0","11","47","76","17","27","0","11","0","11",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","208","114","50","80","13","21","0","11","0","11","11","20","0","11","13","21","0","11","0","11","84","92","37","42","0","11","0","11","0","11","0","11","0","11",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","135","57","24","30","17","28","0","11","0","11","30","25","0","11","0","11","0","11","0","11","0","11","29","34","18","29","0","11","0","11","0","11","17","24",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","292","106","13","21","38","60","50","50","0","11","91","66","10","16","0","11","31","48","0","11","0","11","10","18","4","17","31","36","14","21","0","11","0","11",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","836","159","140","89","201","121","136","87","44","33","73","56","0","11","18","29","0","11","0","11","0","11","14","22","105","98","103","89","0","11","2","3","0","11",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","270","72","0","11","17","17","34","38","19","21","14","18","35","40","0","11","10","14","16","15","28","23","31","22","48","31","0","11","0","11","9","11","9","12",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","405","51","19","12","27","13","28","16","21","13","11","8","27","18","20","16","11","8","33","27","10","9","46","16","51","28","54","26","18","10","18","15","11","8",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","290","35","14","10","10","12","21","12","18","12","16","11","19","9","19","14","8","8","18","12","37","15","29","15","46","17","29","14","0","11","6","7","0","11",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","775","73","26","14","29","19","14","10","25","17","27","13","58","29","35","18","32","21","71","41","47","19","102","41","121","46","83","47","69","50","13","14","23","23",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","741","89","106","70","20","16","52","50","22","19","57","36","58","32","29","26","34","30","80","49","62","44","27","26","98","39","49","33","7","12","40","44","0","11",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","492","88","44","39","30","38","16","27","15","18","26","23","28","34","7","10","0","11","7","13","12","18","13","19","177","84","58","36","36","28","23","28","0","11",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","411","69","0","11","44","44","6","12","7","11","7","11","30","28","17","20","14","15","28","29","31","21","30","28","93","40","33","27","32","32","30","28","9","16",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","529","70","30","33","29","28","17","19","25","25","0","11","14","22","33","25","23","25","10","12","28","32","97","52","56","35","59","38","65","47","36","28","7","11",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","792","100","6","10","6","9","35","24","51","56","35","27","64","35","17","14","12","13","31","25","38","39","94","51","224","77","99","55","36","30","36","30","8","12",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","509","85","0","11","0","11","12","14","12","17","54","65","0","11","20","24","2","5","17","20","58","54","130","82","88","43","53","35","52","41","11","16","0","11",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","960","94","99","64","10","14","7","11","22","23","11","14","46","46","50","32","65","48","27","20","61","49","114","48","158","59","102","46","137","59","31","30","20","23",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","588","73","15","18","0","11","16","24","0","11","37","47","9","13","0","11","41","48","49","31","7","11","65","47","78","60","100","58","57","34","44","29","70","46",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","366","112","0","11","19","30","46","65","2","4","40","40","51","73","0","11","26","35","2","5","50","55","19","21","35","31","32","26","15","23","16","28","13","22",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","869","131","11","17","0","11","7","11","97","91","20","30","80","55","21","24","13","21","97","75","61","48","107","86","66","50","183","96","66","54","0","11","40","38",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","143","47","23","27","0","11","0","11","13","21","0","11","16","25","0","11","0","11","0","11","35","38","0","11","14","21","0","11","0","11","27","31","15","23",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","840","117","48","43","28","32","13","23","0","11","0","11","117","69","0","11","38","37","0","11","121","98","158","90","78","53","119","72","38","44","67","58","15","25",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","306","63","0","11","8","13","0","11","28","44","6","9","8","14","0","11","23","28","0","11","43","31","34","30","67","47","42","33","0","11","14","24","33","30",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","384","80","50","60","0","11","24","25","0","11","30","34","0","11","11","18","12","18","21","24","0","11","43","32","69","42","65","42","31","26","22","25","6","10",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","1020","95","68","43","79","63","19","21","0","11","49","46","49","39","48","52","72","46","22","26","71","42","120","65","147","67","61","42","52","41","94","64","69","54",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","602","155","104","68","6","9","114","106","0","11","61","77","27","32","0","11","22","35","16","18","74","84","79","54","21","27","25","29","53","42","0","11","0","11",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","490","138","83","55","13","19","8","14","40","42","33","37","15","24","11","12","14","20","33","37","72","86","29","32","88","55","39","40","0","11","12","19","0","11",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","1152","153","261","93","42","29","122","65","98","57","73","51","44","48","12","14","51","36","36","16","112","56","40","37","104","53","119","64","3","7","35","40","0","11",
"1500000US150010210051","Block Group 1, Census Tract 210.05, Hawaii County, Hawaii","658","319","269","310","0","11","103","107","43","70","0","11","0","11","42","67","0","11","44","69","37","62","24","39","48","79","48","77","0","11","0","11","0","11",
"1500000US150010210052","Block Group 2, Census Tract 210.05, Hawaii County, Hawaii","776","262","247","225","0","11","75","90","42","68","0","11","21","36","0","11","54","64","47","73","127","121","26","41","38","43","64","76","0","11","0","11","35","58",
"1500000US150010210053","Block Group 3, Census Tract 210.05, Hawaii County, Hawaii","1940","329","181","137","60","74","49","80","42","50","142","98","15","24","225","222","74","62","166","220","209","140","193","176","163","125","212","137","87","94","108","170","14","21",
"1500000US150010210054","Block Group 4, Census Tract 210.05, Hawaii County, Hawaii","691","232","88","97","15","24","0","11","0","11","49","76","0","11","0","11","29","47","56","69","99","114","156","135","139","124","60","82","0","11","0","11","0","11",
"1500000US150010210101","Block Group 1, Census Tract 210.10, Hawaii County, Hawaii","1012","191","174","87","41","31","152","102","83","77","14","14","79","70","50","69","13","16","11","12","54","50","49","52","216","139","3","6","3","6","43","55","27","43",
"1500000US150010210102","Block Group 2, Census Tract 210.10, Hawaii County, Hawaii","877","135","171","53","91","38","98","48","94","69","22","20","51","35","49","33","28","21","33","23","28","24","117","53","64","37","22","15","9","15","0","11","0","11",
