"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","677","95","109","37","78","35","28","22","58","33","42","23","24","21","44","20","26","19","23","18","50","23","26","16","75","37","45","41","35","21","11","8","3","4",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","315","80","6","7","17","13","20","12","44","49","5","7","20","15","19","15","3","5","4","8","20","15","49","45","39","27","60","59","4","7","1","3","4","7",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","350","95","0","11","43","47","10","16","30","24","18","14","19","15","15","19","9","14","25","26","11","10","50","44","7","11","54","48","50","45","9","16","0","11",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","392","66","36","29","30","22","16","18","34","26","15","16","8","13","26","24","40","31","18","19","17","18","53","32","43","24","29","23","15","16","12","15","0","11",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","186","51","28","21","5","7","25","18","5","8","8","10","6","9","37","45","0","11","0","11","11","12","16","14","0","11","4","6","11","15","18","16","12","10",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","450","58","29","19","32","20","63","37","42","25","19","12","33","23","15","11","22","16","6","7","17","12","37","20","32","14","33","19","29","18","18","17","23","19",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","427","87","66","56","30","47","20","22","42","49","36","36","0","11","0","11","15","23","20","30","0","11","56","37","58","43","29","31","24","25","31","25","0","11",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","389","114","75","48","60","66","48","61","45","43","17","21","10","19","35","44","0","11","30","37","10","16","51","54","0","11","0","11","0","11","8","13","0","11",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","678","120","145","78","40","35","45","37","45","39","50","63","11","19","20","23","29","24","33","35","0","11","68","45","46","50","74","68","32","37","21","25","19","26",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","325","95","29","30","0","11","36","33","41","38","60","45","16","19","28","24","0","11","18","27","20","28","0","11","41","55","8","12","0","11","16","18","12","19",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","160","75","37","52","41","33","12","15","6","9","9","14","0","11","0","11","4","7","30","45","0","11","12","20","0","11","9","16","0","11","0","11","0","11",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","479","114","98","77","43","49","42","47","8","17","123","90","32","50","0","11","0","11","8","13","5","9","52","52","25","21","39","39","0","11","0","11","4","10",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","363","92","80","74","13","21","0","11","9","15","14","17","69","59","10","16","0","11","0","11","30","30","17","19","29","27","46","34","13","16","33","32","0","11",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","458","131","154","89","76","67","38","59","59","73","0","11","17","31","45","71","0","11","27","30","13","21","16","25","0","11","0","11","13","21","0","11","0","11",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","229","124","56","89","13","22","0","11","0","11","12","20","0","11","19","32","0","11","0","11","89","97","24","30","16","26","0","11","0","11","0","11","0","11",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","132","53","28","32","11","18","0","11","0","11","12","19","0","11","0","11","0","11","0","11","0","11","32","35","35","40","0","11","0","11","0","11","14","24",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","315","108","15","24","43","70","57","55","0","11","93","67","10","19","0","11","15","26","12","19","0","11","15","24","29","38","11","18","15","23","0","11","0","11",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","868","154","185","89","157","109","136","96","42","39","81","86","0","11","17","27","0","11","0","11","26","30","28","32","94","103","101","83","0","11","1","3","0","11",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","305","64","36","41","45","46","43","38","17","18","12","16","8","12","0","11","9","12","17","13","28","24","25","20","43","21","0","11","0","11","14","16","8","12",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","392","59","12","8","19","12","39","22","15","10","10","10","42","23","18","15","13","10","28","26","10","8","39","21","46","27","40","21","28","18","13","14","20","17",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","272","33","14","9","15","12","18","11","36","24","10","9","16","10","23","17","7","6","12","10","26","12","27","14","36","16","24","12","4","7","4","6","0","11",
