X,Y,objectid,name,island
-155.07948649433,19.6836773270664,1,Kawailani Fire Station,Hawaii
-155.086191489912,19.7203121698107,2,Central Fire Station,Hawaii
-155.661208545791,20.0231312490787,3,Waimea Fire Station,Hawaii
-155.798333419072,20.2299926247262,4,North Kohala Fire Station,Hawaii
-155.94048755181,19.5605335282506,5,Keauhou Fire Station,Hawaii
-154.958357537375,19.5093313814655,6,Pahoa Fire Station,Hawaii
-155.909009885014,19.4884920625085,7,Captain Cook Fire Station,Hawaii
-155.793878835756,19.9249113780573,8,Waikoloa Fire Station,Hawaii
-155.462546239138,20.0772123507536,9,Honokaa Fire Station,Hawaii
-155.040103629866,19.6209313063353,10,Keaau Fire Station,Hawaii
-155.058483395987,19.724114261474,11,Waiakea Fire Station,Hawaii
-155.108975124339,19.7107973841762,12,Kaumana Fire Station,Hawaii
-155.833873894509,19.9467511759949,13,South Kohala Fire Station,Hawaii
-154.974119996085,19.5742813154819,14,Hawaiian Paradise Park Fire Station,Hawaii
-155.992411356335,19.6473462986645,15,Kailua Fire Station,Hawaii
-155.778349717386,19.1174831928789,16,Hawaiian Ocean View Fire Station,Hawaii
-155.473110113548,19.2009274891004,17,Pahala Fire Station,Hawaii
-155.275978464327,19.4339774939945,18,Volcano Fire Station,Hawaii
-155.232843489307,19.9830074634955,19,Laupahoehoe Fire Station,Hawaii
-155.058246861712,19.7238507702352,20,Fire Department Maintenance Shop,Hawaii
-155.086479840511,19.7199458724411,21,Fire Warehouse and Dispatch Center,Hawaii
-155.977304432467,19.7334363291185,22,Makalei Fire Station,Hawaii
-155.58684857341,19.0613138614159,23,Naalehu Medic 11,Hawaii
-159.479002486486,22.212268442001,24,HANALEI FIRE STATION,Kauai
-159.467439870041,21.883742879574,25,KOLOA FIRE STATION,Kauai
-159.668203602199,21.9554866079162,26,WAIMEA FIRE STATION,Kauai
-159.363864619976,21.9713754726063,27,LIHUE FIRE STATION,Kauai
-159.322251830194,22.0603695077768,28,KAPAA FIRE STATION,Kauai
-159.588349200524,21.9094919283051,29,HANAPEPE FIRE STATION,Kauai
-159.526255273032,21.9252567347297,30,KALAHEO FIRE STATION,Kauai
-159.309220627645,22.0872023478759,31,KAIAKEA FIRE STATION,Kauai
-155.232890842726,19.9828894230491,32,Laupahoehoe - Volunteer,Hawaii
-155.973112893906,19.7075630277451,33,Kalaoa Mauka - Volunteer,Hawaii
-155.832625975038,20.0826821484198,34,Kohala Ranch - Volunteer,Hawaii
-155.878615715391,19.3149698861985,35,Kona Paradise Subdivision - Volunteer,Hawaii
-155.905295539202,19.1898372948895,36,Milolii - Volunteer,Hawaii
-154.901602052335,19.5474017229708,37,Hawaiian Beaches - Volunteer,Hawaii
-154.857843465883,19.5429486175279,38,Waa Waa - Volunteer,Hawaii
-155.787482772519,19.9263151723548,39,Waikoloa Village - Volunteer,Hawaii
-155.982413849261,19.8304719754701,40,Kona Village - Volunteer,Hawaii
-155.635322041602,19.0404079281255,41,Discovery Harbour - Volunteer,Hawaii
-155.23056756682,19.4344652012121,42,Volcano Village - Volunteer,Hawaii
-155.778300251647,19.1174756078261,43,Ocean View - Volunteer,Hawaii
-155.104943295428,19.8351887120815,44,Pepeekeo - Volunteer,Hawaii
-155.129874013717,19.4591979444835,45,Fern Forest - Volunteer,Hawaii
-155.049838569522,19.5565297385421,46,Hawaiian Acres - Volunteer,Hawaii
-155.092129352422,19.5389585027368,47,Fern Acres - Volunteer,Hawaii
-155.990976452751,19.826806545036,48,Four Seasons - Volunteer,Hawaii
-154.974263270805,19.5741081218294,49,Hawaiian Paradise Park - Volunteer,Hawaii
-155.300910044065,19.5491160968792,50,Kulani - Volunteer,Hawaii
-155.654166327171,19.8557441881259,51,Waikii - Volunteer,Hawaii
-155.586872722127,19.0625071220872,52,Naalehu - Volunteer,Hawaii
-155.473333908318,19.2008895764749,53,Pahala - Volunteer,Hawaii
-155.988161872509,19.6493405172525,54,Kaupulehu - Volunteer,Hawaii
-157.946172695849,21.6747155054751,55,Kahuku,Oahu
-158.062670311793,21.648539838691,56,Sunset,Oahu
-158.111864033443,21.5865245272853,57,Waialua,Oahu
-157.909074925752,21.6080517333945,58,Hauula,Oahu
-157.854744186842,21.5566629804424,59,Kaaawa,Oahu
-158.027907831847,21.4972018476985,60,Wahiawa,Oahu
-158.191731582965,21.4499859003474,61,Waianae,Oahu
-157.846760495725,21.4573675752827,62,Kahaluu,Oahu
-158.015585842096,21.4569296692786,63,Mililani,Oahu
-157.749542147491,21.4238454995663,64,Aikahi,Oahu
