objectid,id,st_areashape,st_perimetershape
1,1,16267531.8756641,1365255.48633649
2,0,11859337.3324319,1023203.74964649
3,1,1223127.06144049,183072.356837133
4,0,7960696.18882305,745034.641387531
5,1,3803923.52913021,427706.584927933
6,0,21530851.2235401,1349859.98515965
