X,Y,objectid,wwtp_name,county,permit,uic_num,tmk,type,owner_type,class,atu_date,lat_dd,long_dd,shape
-158.111055610594,21.5892995906871,38,"Haleiwa Surf Condo - 20,000 gpd",C&C Honolulu,206,UO-2021,166006005,WWTP,Private,1,NULL,21.589303,-158.11107,
-158.031654608753,21.6824095973206,39,"Sunset Beach Colony Estates - 30,000 gpd",C&C Honolulu,209,UO-1216,158003120,WWTP,Private,2,1/12/1978,21.682413,-158.031669,
-157.666472590873,21.315503578218,40,"Oceanic Institute - 3,630 gpd",C&C Honolulu,210,UO-1699,141014004,WWTP,Private,2,6/20/1992,21.315507,-157.666487,
-158.122044610858,21.5701005890716,41,"Kupuna Home O'Waialua - 10,000 gpd",C&C Honolulu,211,UO-2018,167016028,WWTP,Private,2,11/2/2011,21.570104,-158.122059,
-158.137998611185,21.5836445893937,42,"Konane Kai Condo - 35,000 gpd",C&C Honolulu,212,UO-1962,168011042,WWTP,Private,2,12/23/1981,21.583648,-158.138013,
-157.931349604404,21.643696595677,43,Laie WWTP (BYU-Hawaii),C&C Honolulu,213,,155006033,Reuse R1,Public,4,NULL,21.6437,-157.931364,
-158.223196613808,21.4785285819996,44,"Makaha Shores Condos - 20,000 gpd",C&C Honolulu,214,UO-1250,184001005,WWTP,Private,2,NULL,21.478532,-158.223211,
-157.86213460134,21.5587765910212,45,"Makaua Vlg - 20,000 gpd",C&C Honolulu,215,UO-1382,151005004,WWTP,Private,1,NULL,21.55878,-157.862149,
-158.139002611732,21.5821165896983,46,"KCD 1, LLC - 1,600 gpd",C&C Honolulu,216,,168011068,WWTP,Private,1,5/5/2020,21.58212,-158.139017,
-158.138032611895,21.5828095893852,47,"Mokuleia Beach Apts - 5,000 gpd",C&C Honolulu,217,UO-2003,168011027,WWTP,Private,1,NULL,21.582813,-158.138047,
-158.174828612813,21.5802435888847,48,"Mokuleia Beach Colony - 14,000 gpd",C&C Honolulu,218,UO-1799,168009001,WWTP,Private,1,NULL,21.580247,-158.174843,
-158.13770061183,21.5818275895914,49,"Mokuleia Shores Apts - 6,750 gpd",C&C Honolulu,220,UO-1775,168011001,WWTP,Private,1,NULL,21.581831,-158.137715,
-158.139633612031,21.5816625892229,50,"Mokuleia Surf Condos - 5,000 gpd",C&C Honolulu,221,UO-1808,168011007,WWTP,Private,1,NULL,21.581666,-158.139648,
